Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Roof Shape,Roof Angle,Footprint m2,Type Tags,OSM URL
Office: A/C standard,East Anglia,Norwich,way,106366983,Norse Group,gabled,,2158.9,building=office; office=company,https://www.openstreetmap.org/way/106366983
Office: A/C standard,East Anglia,Norwich,way,114943344,Colman Road Health Centre,gabled,,432.5,building=office,https://www.openstreetmap.org/way/114943344
Office: A/C standard,East Anglia,Norwich,way,129052800,Tarmac,flat,,257.4,building=commercial; office=company,https://www.openstreetmap.org/way/129052800
Office: A/C standard,East Anglia,Norwich,way,147937775,,flat,,111.5,building=office,https://www.openstreetmap.org/way/147937775
Office: A/C standard,East Anglia,Norwich,way,147938269,,gabled,,2391.0,building=office,https://www.openstreetmap.org/way/147938269
Office: A/C standard,East Anglia,Norwich,way,171338043,,gabled,,55.2,building=office,https://www.openstreetmap.org/way/171338043
Office: A/C standard,East Anglia,Norwich,way,188348586,Wensum Trust,gabled,,130.0,building=office,https://www.openstreetmap.org/way/188348586
Office: A/C standard,East Anglia,Norwich,way,326240069,,gabled,,339.6,building=office,https://www.openstreetmap.org/way/326240069
Office: A/C standard,East Anglia,Norwich,way,540017272,Bob Champion Research and Education Building,flat,,1923.0,building=office,https://www.openstreetmap.org/way/540017272
Office: A/C standard,East Anglia,Norwich,way,623549400,Kingdom Hall,gabled,,310.4,building=office; amenity=place_of_worship,https://www.openstreetmap.org/way/623549400
Office: A/C standard,East Anglia,Norwich,way,638271972,Bunzl Cleaning and Hygiene,flat,,934.6,building=office; office=company,https://www.openstreetmap.org/way/638271972
Office: A/C standard,East Anglia,Norwich,way,638271983,Vodafone,gabled,,427.4,building=commercial; office=telecommunication,https://www.openstreetmap.org/way/638271983
Office: A/C standard,East Anglia,Norwich,way,643123072,Affinity Marketing,flat,,209.2,building=office; office=yes,https://www.openstreetmap.org/way/643123072
Office: A/C standard,East Anglia,Norwich,way,699369497,,gabled,,198.5,building=office,https://www.openstreetmap.org/way/699369497
Office: A/C standard,East Anglia,Norwich,way,848067597,,flat,,440.9,building=office,https://www.openstreetmap.org/way/848067597
Office: A/C standard,England E and NE,Newcastle,way,96417310,Leeds Building Society,flat,,1167.6,building=yes; office=yes,https://www.openstreetmap.org/way/96417310
Office: A/C standard,England E and NE,Newcastle,way,96630460,,flat,,994.2,building=office,https://www.openstreetmap.org/way/96630460
Office: A/C standard,England E and NE,Newcastle,way,145812857,,flat,,810.5,building=office; office=yes,https://www.openstreetmap.org/way/145812857
Office: A/C standard,England E and NE,Newcastle,way,266890160,Cobalt Central,flat,,1525.8,building=office,https://www.openstreetmap.org/way/266890160
Office: A/C standard,England E and NE,Newcastle,way,333353750,I M S L House,flat,,264.4,building=yes; office=yes,https://www.openstreetmap.org/way/333353750
Office: A/C standard,England NW and N Wales,Manchester,way,29449838,Castlefield House,flat,,1055.9,building=office,https://www.openstreetmap.org/way/29449838
Office: A/C standard,England NW and N Wales,Manchester,way,29460591,,flat,,2487.6,building=office,https://www.openstreetmap.org/way/29460591
Office: A/C standard,England NW and N Wales,Manchester,way,30342727,,flat,,2709.0,building=office,https://www.openstreetmap.org/way/30342727
Office: A/C standard,England NW and N Wales,Manchester,way,35277659,,flat,,564.1,building=office,https://www.openstreetmap.org/way/35277659
Office: A/C standard,England NW and N Wales,Manchester,way,65624073,USDAW,gabled,,1087.2,building=office; office=union,https://www.openstreetmap.org/way/65624073
Office: A/C standard,England NW and N Wales,Manchester,way,67234749,BBC,flat,,3264.8,building=office; amenity=studio; office=broadcaster,https://www.openstreetmap.org/way/67234749
Office: A/C standard,England NW and N Wales,Manchester,way,121702270,BBC,flat,,2238.4,building=office; office=broadcaster,https://www.openstreetmap.org/way/121702270
Office: A/C standard,England NW and N Wales,Manchester,way,126383070,,flat,,3121.4,building=office,https://www.openstreetmap.org/way/126383070
Office: A/C standard,England NW and N Wales,Manchester,way,136853130,Optimum House,hipped,,929.0,building=office,https://www.openstreetmap.org/way/136853130
Office: A/C standard,England NW and N Wales,Manchester,way,143166148,Magnetic House,flat,,828.6,building=office,https://www.openstreetmap.org/way/143166148
Office: A/C standard,England NW and N Wales,Manchester,way,145005317,,flat,,1400.6,building=office,https://www.openstreetmap.org/way/145005317
Office: A/C standard,England NW and N Wales,Manchester,way,147863063,,hipped,,296.5,building=office,https://www.openstreetmap.org/way/147863063
Office: A/C standard,England NW and N Wales,Manchester,way,166407645,brand addition.,gabled,,670.1,building=yes; office=yes,https://www.openstreetmap.org/way/166407645
Office: A/C standard,England NW and N Wales,Manchester,way,190109376,Northwood House,hipped,,960.6,building=office,https://www.openstreetmap.org/way/190109376
Office: A/C standard,England NW and N Wales,Manchester,way,190109383,Westwood House,hipped,,767.2,building=office,https://www.openstreetmap.org/way/190109383
Office: A/C standard,England NW and N Wales,Manchester,way,191005389,Laser House,flat,,1281.2,building=office,https://www.openstreetmap.org/way/191005389
Office: A/C standard,England NW and N Wales,Manchester,way,195773697,The Co-operative Bank,hipped,,2021.4,building=office; office=company,https://www.openstreetmap.org/way/195773697
Office: A/C standard,England NW and N Wales,Manchester,way,204800332,Building 2,hipped,,557.9,building=office,https://www.openstreetmap.org/way/204800332
Office: A/C standard,England NW and N Wales,Manchester,way,204800352,Boatshed,hipped,,1726.9,building=office,https://www.openstreetmap.org/way/204800352
Office: A/C standard,England NW and N Wales,Manchester,way,204800353,,hipped,,462.3,building=office,https://www.openstreetmap.org/way/204800353
Office: A/C standard,England NW and N Wales,Manchester,way,204804018,Hilti,gabled,,944.7,building=office,https://www.openstreetmap.org/way/204804018
Office: A/C standard,England NW and N Wales,Manchester,way,205197165,The Manchester College,flat,,1155.9,building=yes; office=educational_institution,https://www.openstreetmap.org/way/205197165
Office: A/C standard,England NW and N Wales,Manchester,way,254769038,,pyramidal,,351.6,building=office,https://www.openstreetmap.org/way/254769038
Office: A/C standard,England NW and N Wales,Manchester,way,255507419,,pyramidal,,294.7,building=office,https://www.openstreetmap.org/way/255507419
Office: A/C standard,England NW and N Wales,Manchester,way,255507420,Southwood House,hipped,,831.8,building=office,https://www.openstreetmap.org/way/255507420
Office: A/C standard,England NW and N Wales,Manchester,way,256067186,Building 10,pyramidal,,352.1,building=office,https://www.openstreetmap.org/way/256067186
Office: A/C standard,England NW and N Wales,Manchester,way,256067187,Building 6,hipped,,1031.7,building=office,https://www.openstreetmap.org/way/256067187
Office: A/C standard,England NW and N Wales,Manchester,way,276269682,,pyramidal,,105.2,building=office,https://www.openstreetmap.org/way/276269682
Office: A/C standard,England NW and N Wales,Manchester,way,482021103,K&A Solicitors,half-hipped,,53.8,building=yes; office=lawyer,https://www.openstreetmap.org/way/482021103
Office: A/C standard,England NW and N Wales,Manchester,way,483240785,M19 Tires,flat,,27.4,building=yes; office=taxi; shop=tyres,https://www.openstreetmap.org/way/483240785
Office: A/C standard,England NW and N Wales,Manchester,way,499233202,101 Embankment,flat,,1981.9,building=office,https://www.openstreetmap.org/way/499233202
Office: A/C standard,England NW and N Wales,Manchester,way,799402435,,gabled,,79.1,building=office,https://www.openstreetmap.org/way/799402435
Office: A/C standard,England NW and N Wales,Manchester,way,799402436,,gabled,,79.1,building=office,https://www.openstreetmap.org/way/799402436
Office: A/C standard,England NW and N Wales,Manchester,way,799402437,,gabled,,79.0,building=office,https://www.openstreetmap.org/way/799402437
Office: A/C standard,England NW and N Wales,Manchester,way,799402438,,gabled,,79.0,building=office,https://www.openstreetmap.org/way/799402438
Office: A/C standard,England NW and N Wales,Manchester,way,799402439,,gabled,,79.0,building=office,https://www.openstreetmap.org/way/799402439
Office: A/C standard,England NW and N Wales,Manchester,way,799402440,,gabled,,79.1,building=office,https://www.openstreetmap.org/way/799402440
Office: A/C standard,England NW and N Wales,Manchester,way,799402441,,gabled,,79.1,building=office,https://www.openstreetmap.org/way/799402441
Office: A/C standard,England NW and N Wales,Manchester,way,799402442,,gabled,,79.1,building=office,https://www.openstreetmap.org/way/799402442
Office: A/C standard,England NW and N Wales,Manchester,way,799403260,,gabled,,114.1,building=office,https://www.openstreetmap.org/way/799403260
Office: A/C standard,England NW and N Wales,Manchester,way,799403261,,gabled,,114.1,building=office,https://www.openstreetmap.org/way/799403261
Office: A/C standard,England NW and N Wales,Manchester,way,799403262,,gabled,,114.1,building=office,https://www.openstreetmap.org/way/799403262
Office: A/C standard,England NW and N Wales,Manchester,way,799403264,,gabled,,85.6,building=office,https://www.openstreetmap.org/way/799403264
Office: A/C standard,England NW and N Wales,Manchester,way,799403265,,gabled,,85.7,building=office,https://www.openstreetmap.org/way/799403265
Office: A/C standard,England NW and N Wales,Manchester,way,799403266,,gabled,,85.7,building=office,https://www.openstreetmap.org/way/799403266
Office: A/C standard,England NW and N Wales,Manchester,way,799403267,,gabled,,85.7,building=office,https://www.openstreetmap.org/way/799403267
Office: A/C standard,England NW and N Wales,Manchester,way,799404895,,gabled,,111.2,building=office,https://www.openstreetmap.org/way/799404895
Office: A/C standard,England NW and N Wales,Manchester,way,799404896,,gabled,,111.3,building=office,https://www.openstreetmap.org/way/799404896
Office: A/C standard,England NW and N Wales,Manchester,way,799404897,,gabled,,111.2,building=office,https://www.openstreetmap.org/way/799404897
Office: A/C standard,England NW and N Wales,Manchester,way,799404898,,gabled,,111.2,building=office,https://www.openstreetmap.org/way/799404898
Office: A/C standard,England NW and N Wales,Manchester,way,799404899,,gabled,,126.9,building=office,https://www.openstreetmap.org/way/799404899
Office: A/C standard,England NW and N Wales,Manchester,way,799404900,,gabled,,91.4,building=office,https://www.openstreetmap.org/way/799404900
Office: A/C standard,England NW and N Wales,Manchester,way,799404901,,gabled,,91.4,building=office,https://www.openstreetmap.org/way/799404901
Office: A/C standard,England NW and N Wales,Manchester,way,799404902,,gabled,,76.3,building=office,https://www.openstreetmap.org/way/799404902
Office: A/C standard,England NW and N Wales,Manchester,way,799404903,,gabled,,66.4,building=office,https://www.openstreetmap.org/way/799404903
Office: A/C standard,England NW and N Wales,Manchester,way,799404904,,gabled,,66.4,building=office,https://www.openstreetmap.org/way/799404904
Office: A/C standard,England NW and N Wales,Manchester,way,799404905,,gabled,,88.3,building=office,https://www.openstreetmap.org/way/799404905
Office: A/C standard,England NW and N Wales,Manchester,way,799404906,,gabled,,88.2,building=office,https://www.openstreetmap.org/way/799404906
Office: A/C standard,England NW and N Wales,Manchester,way,911674111,,hipped,,19.0,building=office,https://www.openstreetmap.org/way/911674111
Office: A/C standard,England NW and N Wales,Manchester,way,1157485217,Midway Business Centre,hipped,,530.0,building=office,https://www.openstreetmap.org/way/1157485217
Office: A/C standard,England NW and N Wales,Manchester,way,1157729508,Greater Manchester Law Centre,gabled,,301.9,building=yes; office=lawyer,https://www.openstreetmap.org/way/1157729508
Office: A/C standard,England NW and N Wales,Manchester,relation,2574677,,mansard,,2406.2,building=yes; office=yes,https://www.openstreetmap.org/relation/2574677
Office: A/C standard,England NW and N Wales,Manchester,relation,12765327,Laser House,flat,,0.0,building=office,https://www.openstreetmap.org/relation/12765327
Office: A/C standard,England NW and N Wales,Manchester,relation,12770515,,skillion,,0.0,building=office,https://www.openstreetmap.org/relation/12770515
Office: A/C standard,England SE and Central S,London,way,10811256,BBC Broadcasting House,many,,7850.0,building=office,https://www.openstreetmap.org/way/10811256
Office: A/C standard,England SE and Central S,London,way,23274324,Apex Tower,flat,,759.1,building=office,https://www.openstreetmap.org/way/23274324
Office: A/C standard,England SE and Central S,London,way,24625023,,flat,,2444.4,building=office,https://www.openstreetmap.org/way/24625023
Office: A/C standard,England SE and Central S,London,way,26709894,Royal College of Physicians,flat,,2443.9,building=college; office=ngo,https://www.openstreetmap.org/way/26709894
Office: A/C standard,England SE and Central S,London,way,27463968,Berkeley House,quadruple_saltbox,,577.0,building=office,https://www.openstreetmap.org/way/27463968
Office: A/C standard,England SE and Central S,London,way,27463969,Teach Now,quadruple_saltbox,,567.3,building=office,https://www.openstreetmap.org/way/27463969
Office: A/C standard,England SE and Central S,London,way,28093944,Laing O'Rourke,flat,,2133.3,building=office,https://www.openstreetmap.org/way/28093944
Office: A/C standard,England SE and Central S,London,way,28093948,Laing O'Rourke,flat,,2160.9,building=office,https://www.openstreetmap.org/way/28093948
Office: A/C standard,England SE and Central S,London,way,28093971,,hipped,,1575.8,building=office,https://www.openstreetmap.org/way/28093971
Office: A/C standard,England SE and Central S,London,way,28093972,,hipped,,972.2,building=office,https://www.openstreetmap.org/way/28093972
Office: A/C standard,England SE and Central S,London,way,28658723,,flat,,1006.7,building=office,https://www.openstreetmap.org/way/28658723
Office: A/C standard,England SE and Central S,London,way,28815418,South Bank Tower,flat,,806.8,building=office,https://www.openstreetmap.org/way/28815418
Office: A/C standard,England SE and Central S,London,way,30805755,Crédit Agricole - Corporate & Investment Bank,flat,,4910.9,building=commercial; office=company,https://www.openstreetmap.org/way/30805755
Office: A/C standard,England SE and Central S,London,way,31254376,,flat,,2142.5,building=office,https://www.openstreetmap.org/way/31254376
Office: A/C standard,England SE and Central S,London,way,31467228,,flat,,716.2,building=office,https://www.openstreetmap.org/way/31467228
Office: A/C standard,England SE and Central S,London,way,32819777,Council Offices,hipped,,685.7,building=yes; office=government,https://www.openstreetmap.org/way/32819777
Office: A/C standard,England SE and Central S,London,way,33327796,,flat,,1369.2,building=office,https://www.openstreetmap.org/way/33327796
Office: A/C standard,England SE and Central S,London,way,33328018,,flat,,1428.2,building=office,https://www.openstreetmap.org/way/33328018
Office: A/C standard,England SE and Central S,London,way,34994308,The Linen House,gabled,,244.7,building=office,https://www.openstreetmap.org/way/34994308
Office: A/C standard,England SE and Central S,London,way,38096704,Dartford Civic Centre,flat,,1545.8,building=office; amenity=public_building; office=government,https://www.openstreetmap.org/way/38096704
Office: A/C standard,England SE and Central S,London,way,40734130,Whittington House,flat,,1412.2,building=office,https://www.openstreetmap.org/way/40734130
Office: A/C standard,England SE and Central S,London,way,40770454,,flat,,434.1,building=office,https://www.openstreetmap.org/way/40770454
Office: A/C standard,England SE and Central S,London,way,40836852,Golderbrock House,quadruple_saltbox,,154.2,building=office,https://www.openstreetmap.org/way/40836852
