Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Storeys,Type Tags,OSM URL
Health: Health centre,East Anglia,Norwich,way,662970359,Mile End Road Surgery,2.0,building=hospital; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/662970359
Health: Health centre,East Anglia,Norwich,way,709043631,Dr Saba Raja The Home of Aesthetics,2.0,building=commercial; amenity=clinic,https://www.openstreetmap.org/way/709043631
Health: Health centre,East Anglia,Norwich,way,676122721,Optical Express,3.0,building=retail; amenity=clinic; shop=optician; healthcare=clinic,https://www.openstreetmap.org/way/676122721
Health: Health centre,England E and NE,Newcastle,way,367772883,Gosforth Memorial Medical Centre,1.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/367772883
Health: Health centre,England E and NE,Newcastle,way,449935284,Battle Hill Health Center,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/449935284
Health: Health centre,England E and NE,Newcastle,way,446042834,Hillsview Surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/446042834
Health: Health centre,England E and NE,Newcastle,way,1358992458,Hadrian Health Centre,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/1358992458
Health: Health centre,England E and NE,Newcastle,way,145418401,New Croft Centre,4.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/145418401
Health: Health centre,England NW and N Wales,Manchester,way,201520438,Gaskell House,2.0,amenity=clinic,https://www.openstreetmap.org/way/201520438
Health: Health centre,England NW and N Wales,Manchester,way,326731685,Levenshulme Health Centre,2.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/326731685
Health: Health centre,England NW and N Wales,Manchester,way,609274944,Cornbrook Medical Practice,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/609274944
Health: Health centre,England NW and N Wales,Manchester,way,695872471,The Docs,4.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/695872471
Health: Health centre,England SE and Central S,London,way,65658376,Londsdale Medical Centre,1.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/65658376
Health: Health centre,England SE and Central S,London,way,111872207,Milson Road Health Centre,1.0,building=yes; amenity=doctors; healthcare=centre,https://www.openstreetmap.org/way/111872207
Health: Health centre,England SE and Central S,London,way,149616254,Kilburn Park Medical Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/149616254
Health: Health centre,England SE and Central S,London,way,150822391,Maple Leaf Chiropractic,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/150822391
Health: Health centre,England SE and Central S,London,way,193709726,Hollywell Surgury,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/193709726
Health: Health centre,England SE and Central S,London,way,217944878,Mayfair Medical Centre,1.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/217944878
Health: Health centre,England SE and Central S,London,way,304102010,Balanced Life Therapy Centre,1.0,building=retail; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/304102010
Health: Health centre,England SE and Central S,London,way,360599474,Randolph Surgery,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/360599474
Health: Health centre,England SE and Central S,London,way,374736605,The New Surgery,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/374736605
Health: Health centre,England SE and Central S,London,way,383198886,Primrose Resource Centre,1.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/383198886
Health: Health centre,England SE and Central S,London,way,403886191,Stormont Health Clinic,1.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/403886191
Health: Health centre,England SE and Central S,London,way,432642544,Devon Road Surgery,1.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/432642544
Health: Health centre,England SE and Central S,London,way,432864211,The Forge Clinic,1.0,building=yes; amenity=clinic; healthcare=alternative,https://www.openstreetmap.org/way/432864211
Health: Health centre,England SE and Central S,London,way,449285762,Grove Medical Centre,1.0,building=service; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/449285762
Health: Health centre,England SE and Central S,London,way,544525130,Belgrave Medical Centre,1.0,building=hospital; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/544525130
Health: Health centre,England SE and Central S,London,way,581720288,Summercroft Surgery,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/581720288
Health: Health centre,England SE and Central S,London,way,782587802,Kingsbridge Road Short Breaks Service,1.0,building=yes; healthcare=centre,https://www.openstreetmap.org/way/782587802
Health: Health centre,England SE and Central S,London,way,926095712,The Medical Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/926095712
Health: Health centre,England SE and Central S,London,way,1135478443,E12 Medical Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1135478443
Health: Health centre,England SE and Central S,London,way,1135578571,Stifford Clays Health Centre,1.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1135578571
Health: Health centre,England SE and Central S,London,relation,12888811,Ashchurch Medical Centre,1.0,building=yes; healthcare=centre,https://www.openstreetmap.org/relation/12888811
Health: Health centre,England SE and Central S,London,way,45667110,Athena Medical Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/45667110
Health: Health centre,England SE and Central S,London,way,50748258,Limehouse Practice,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/50748258
Health: Health centre,England SE and Central S,London,way,51176572,Wellington Way Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/51176572
Health: Health centre,England SE and Central S,London,way,55821480,Bromley by Bow Health Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/55821480
Health: Health centre,England SE and Central S,London,way,57903163,The Gardens surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/57903163
Health: Health centre,England SE and Central S,London,way,61977968,Brent Mental Health Service,2.0,building=yes; healthcare=centre,https://www.openstreetmap.org/way/61977968
Health: Health centre,England SE and Central S,London,way,107826286,Peckwater Health Centre,2.0,building=healthcare; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/107826286
Health: Health centre,England SE and Central S,London,way,117687315,Abbey Road Health Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/117687315
Health: Health centre,England SE and Central S,London,way,118173829,Clifden Centre,2.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/118173829
Health: Health centre,England SE and Central S,London,way,236402402,Park House Medical Centre,2.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/236402402
Health: Health centre,England SE and Central S,London,way,255621030,Ash Tree Clinic - Harrow CAMHS,2.0,building=yes; amenity=clinic,https://www.openstreetmap.org/way/255621030
Health: Health centre,England SE and Central S,London,way,264032019,Stroud Green Clinic,2.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/264032019
Health: Health centre,England SE and Central S,London,way,294683400,Latimer Health Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/294683400
