district,year,month,month_name,delta_T_mean,baseline_hdd_per_day,projected_hdd_per_day,hdd_reduction
East Anglia,2026,1,January,-0.0139,10.8351,10.8491,-0.0139
East Anglia,2026,2,February,0.7191,8.5252,7.8095,0.7157
East Anglia,2026,3,March,1.4571,7.4623,6.0078,1.4545
East Anglia,2026,4,April,0.9061,5.5199,4.6232,0.8967
East Anglia,2026,5,May,1.2827,3.006,1.882,1.1239
East Anglia,2026,6,June,1.5832,1.2732,0.3575,0.9157
East Anglia,2026,7,July,1.4135,0.5933,0.0421,0.5512
East Anglia,2026,8,August,1.7389,0.4995,0.0084,0.4911
East Anglia,2026,9,September,1.9788,1.5266,0.429,1.0977
East Anglia,2026,10,October,1.7623,3.7141,2.1561,1.558
East Anglia,2026,11,November,1.3233,7.2963,6.0134,1.283
East Anglia,2026,12,December,0.3743,7.9269,7.5533,0.3737
East Anglia,2027,1,January,0.6771,10.8351,10.1582,0.6769
East Anglia,2027,2,February,0.6791,8.5252,7.8492,0.676
East Anglia,2027,3,March,1.3384,7.4623,6.126,1.3363
East Anglia,2027,4,April,1.3187,5.5199,4.2195,1.3004
East Anglia,2027,5,May,0.9975,3.006,2.1164,0.8896
East Anglia,2027,6,June,1.3665,1.2732,0.4429,0.8303
East Anglia,2027,7,July,1.1896,0.5933,0.0738,0.5195
East Anglia,2027,8,August,2.1146,0.4995,0.002,0.4975
East Anglia,2027,9,September,1.8641,1.5266,0.4701,1.0565
East Anglia,2027,10,October,1.2151,3.7141,2.6105,1.1036
East Anglia,2027,11,November,1.5063,7.2963,5.839,1.4573
East Anglia,2027,12,December,1.8177,7.9269,6.1172,1.8097
East Anglia,2028,1,January,0.7472,10.8351,10.0881,0.747
East Anglia,2028,2,February,1.3121,8.5252,7.2215,1.3036
East Anglia,2028,3,March,0.8653,7.4623,6.5979,0.8644
East Anglia,2028,4,April,0.5366,5.5199,4.9876,0.5323
East Anglia,2028,5,May,1.3759,3.006,1.8079,1.1981
East Anglia,2028,6,June,1.6861,1.2732,0.3213,0.9518
East Anglia,2028,7,July,1.9927,0.5933,0.0074,0.5859
East Anglia,2028,8,August,1.8693,0.4995,0.0052,0.4943
East Anglia,2028,9,September,1.6649,1.5266,0.548,0.9786
East Anglia,2028,10,October,1.9834,3.7141,1.9826,1.7315
East Anglia,2028,11,November,1.5017,7.2963,5.8434,1.4529
East Anglia,2028,12,December,1.1205,7.9269,6.8094,1.1175
East Anglia,2029,1,January,0.9363,10.8351,9.8991,0.936
East Anglia,2029,2,February,0.4031,8.5252,8.1237,0.4015
East Anglia,2029,3,March,0.8312,7.4623,6.632,0.8303
East Anglia,2029,4,April,1.6601,5.5199,3.889,1.6308
East Anglia,2029,5,May,1.4487,3.006,1.7509,1.2551
East Anglia,2029,6,June,2.4402,1.2732,0.1324,1.1407
East Anglia,2029,7,July,2.3963,0.5933,0.0017,0.5916
East Anglia,2029,8,August,2.2863,0.4995,0.001,0.4985
East Anglia,2029,9,September,1.2422,1.5266,0.7413,0.7853
East Anglia,2029,10,October,1.2769,3.7141,2.5575,1.1566
East Anglia,2029,11,November,0.992,7.2963,6.3311,0.9652
East Anglia,2029,12,December,1.396,7.9269,6.5355,1.3915
East Anglia,2030,1,January,1.1323,10.8351,9.7032,1.1319
East Anglia,2030,2,February,1.2163,8.5252,7.3164,1.2088
East Anglia,2030,3,March,1.0526,7.4623,6.411,1.0513
East Anglia,2030,4,April,1.0973,5.5199,4.4356,1.0843
East Anglia,2030,5,May,1.6485,3.006,1.5986,1.4074
East Anglia,2030,6,June,0.9852,1.2732,0.6243,0.6489
East Anglia,2030,7,July,2.0062,0.5933,0.0071,0.5863
East Anglia,2030,8,August,2.3349,0.4995,0.0008,0.4987
East Anglia,2030,9,September,1.5901,1.5266,0.5794,0.9472
East Anglia,2030,10,October,1.4233,3.7141,2.4337,1.2804
East Anglia,2030,11,November,1.1185,7.2963,6.2095,1.0869
East Anglia,2030,12,December,1.0288,7.9269,6.9008,1.0262
East Anglia,2031,1,January,1.0969,10.8351,9.7386,1.0965
East Anglia,2031,2,February,0.6628,8.5252,7.8655,0.6597
East Anglia,2031,3,March,1.2009,7.4623,6.2631,1.1992
East Anglia,2031,4,April,0.8871,5.5199,4.6418,0.8781
East Anglia,2031,5,May,1.7944,3.006,1.4915,1.5145
East Anglia,2031,6,June,0.7216,1.2732,0.7733,0.4999
East Anglia,2031,7,July,2.0441,0.5933,0.0062,0.5871
East Anglia,2031,8,August,1.9281,0.4995,0.0042,0.4953
East Anglia,2031,9,September,2.2196,1.5266,0.3511,1.1755
East Anglia,2031,10,October,1.875,3.7141,2.0669,1.6472
East Anglia,2031,11,November,1.199,7.2963,6.1323,1.1641
East Anglia,2031,12,December,2.149,7.9269,5.7898,2.1371
East Anglia,2032,1,January,0.7635,10.8351,10.0719,0.7632
East Anglia,2032,2,February,0.7181,8.5252,7.8105,0.7147
East Anglia,2032,3,March,1.0008,7.4623,6.4626,0.9997
East Anglia,2032,4,April,0.7821,5.5199,4.7452,0.7746
East Anglia,2032,5,May,1.4919,3.006,1.7174,1.2885
East Anglia,2032,6,June,1.6266,1.2732,0.3419,0.9312
East Anglia,2032,7,July,2.228,0.5933,0.0032,0.5901
East Anglia,2032,8,August,1.7078,0.4995,0.0094,0.4902
East Anglia,2032,9,September,2.1437,1.5266,0.3744,1.1522
East Anglia,2032,10,October,1.7723,3.7141,2.1481,1.566
East Anglia,2032,11,November,0.6474,7.2963,6.6644,0.6319
East Anglia,2032,12,December,1.2054,7.9269,6.725,1.2019
East Anglia,2033,1,January,1.0994,10.8351,9.7361,1.099
East Anglia,2033,2,February,1.0396,8.5252,7.4914,1.0338
East Anglia,2033,3,March,0.658,7.4623,6.8049,0.6574
East Anglia,2033,4,April,1.1903,5.5199,4.3446,1.1752
East Anglia,2033,5,May,1.2579,3.006,1.902,1.104
East Anglia,2033,6,June,2.6434,1.2732,0.1009,1.1723
East Anglia,2033,7,July,2.1339,0.5933,0.0045,0.5888
East Anglia,2033,8,August,3.2315,0.4995,0.0,0.4995
East Anglia,2033,9,September,1.8749,1.5266,0.4661,1.0605
East Anglia,2033,10,October,1.7373,3.7141,2.1761,1.538
East Anglia,2033,11,November,1.5245,7.2963,5.8218,1.4746
East Anglia,2033,12,December,1.1682,7.9269,6.762,1.165
East Anglia,2034,1,January,0.1683,10.8351,10.6669,0.1682
East Anglia,2034,2,February,0.3068,8.5252,8.2196,0.3056
East Anglia,2034,3,March,0.8341,7.4623,6.629,0.8333
East Anglia,2034,4,April,1.2441,5.5199,4.2921,1.2277
East Anglia,2034,5,May,1.6954,3.006,1.5637,1.4422
East Anglia,2034,6,June,1.7766,1.2732,0.2917,0.9814
East Anglia,2034,7,July,1.9457,0.5933,0.0087,0.5847
East Anglia,2034,8,August,2.2964,0.4995,0.0009,0.4986
East Anglia,2034,9,September,2.3111,1.5266,0.3244,1.2022
East Anglia,2034,10,October,2.2379,3.7141,1.791,1.9231
East Anglia,2034,11,November,1.1691,7.2963,6.1609,1.1354
East Anglia,2034,12,December,1.0528,7.9269,6.8768,1.0501
East Anglia,2035,1,January,1.1049,10.8351,9.7306,1.1045
East Anglia,2035,2,February,1.3506,8.5252,7.1835,1.3417
East Anglia,2035,3,March,1.409,7.4623,6.0557,1.4066
East Anglia,2035,4,April,1.1741,5.5199,4.3605,1.1594
East Anglia,2035,5,May,1.543,3.006,1.6782,1.3278
East Anglia,2035,6,June,1.2826,1.2732,0.4793,0.7939
East Anglia,2035,7,July,1.5368,0.5933,0.0301,0.5632
East Anglia,2035,8,August,2.3648,0.4995,0.0007,0.4988
East Anglia,2035,9,September,1.8117,1.5266,0.4898,1.0368
East Anglia,2035,10,October,1.6464,3.7141,2.2495,1.4646
East Anglia,2035,11,November,1.7489,7.2963,5.6094,1.6869
East Anglia,2035,12,December,0.8926,7.9269,7.0363,0.8906
East Anglia,2036,1,January,1.1903,10.8351,9.6453,1.1899
East Anglia,2036,2,February,1.6747,8.5252,6.8635,1.6617
East Anglia,2036,3,March,1.4756,7.4623,5.9894,1.473
East Anglia,2036,4,April,1.442,5.5199,4.0996,1.4202
East Anglia,2036,5,May,1.425,3.006,1.7693,1.2366
East Anglia,2036,6,June,2.4895,1.2732,0.1241,1.149
East Anglia,2036,7,July,1.9213,0.5933,0.0094,0.584
East Anglia,2036,8,August,2.3743,0.4995,0.0007,0.4989
East Anglia,2036,9,September,2.5135,1.5266,0.2707,1.2559
East Anglia,2036,10,October,2.0682,3.7141,1.9177,1.7964
East Anglia,2036,11,November,2.1686,7.2963,5.217,2.0794
East Anglia,2036,12,December,0.445,7.9269,7.4827,0.4443
East Anglia,2037,1,January,0.5089,10.8351,10.3264,0.5087
East Anglia,2037,2,February,0.9289,8.5252,7.6011,0.924
East Anglia,2037,3,March,1.4399,7.4623,6.0249,1.4374
East Anglia,2037,4,April,2.0077,5.5199,3.5571,1.9627
East Anglia,2037,5,May,1.3691,3.006,1.8133,1.1927
East Anglia,2037,6,June,1.4175,1.2732,0.4216,0.8515
East Anglia,2037,7,July,1.6555,0.5933,0.0215,0.5719
East Anglia,2037,8,August,1.9825,0.4995,0.0034,0.4961
East Anglia,2037,9,September,1.8029,1.5266,0.4932,1.0334
East Anglia,2037,10,October,1.9744,3.7141,1.9895,1.7246
East Anglia,2037,11,November,2.1223,7.2963,5.26,2.0364
East Anglia,2037,12,December,1.614,7.9269,6.319,1.6079
East Anglia,2038,1,January,1.5495,10.8351,9.2864,1.5488
East Anglia,2038,2,February,1.5066,8.5252,7.0293,1.4959
East Anglia,2038,3,March,1.2328,7.4623,6.2312,1.2311
East Anglia,2038,4,April,1.6455,5.5199,3.9031,1.6168
East Anglia,2038,5,May,1.7756,3.006,1.505,1.5009
East Anglia,2038,6,June,2.2324,1.2732,0.1723,1.1009
East Anglia,2038,7,July,2.5976,0.5933,0.0007,0.5926
