year,electricity_twh,growth_factor
2026,270.358,1.013674
2027,275.331,1.03232
2028,282.205,1.058093
2029,289.979,1.08724
2030,300.4,1.126313
2031,310.073,1.16258
2032,320.251,1.200742
2033,330.283,1.238355
2034,339.854,1.274241
2035,349.344,1.309822
2036,358.618,1.344594
2037,367.869,1.379279
2038,377.218,1.414332
2039,385.067,1.443761
2040,392.379,1.471177
2041,400.007,1.499777
2042,406.547,1.524298
2043,412.686,1.547315
2044,418.812,1.570284
2045,424.623,1.592072
2046,430.18,1.612907
2047,435.493,1.632827
2048,440.692,1.65232
2049,445.576,1.670632
2050,450.338,1.688487
