Description:,"Celsius-based heating degree days with a base temperature of 15.5 C"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Exeter Airport (3.41W,50.74N)"
Station ID:,EGTE

Date,HDD 15.5,% Estimated
2023-06-01,1.9,2
2023-06-02,2.4,0
2023-06-03,2.2,0
2023-06-04,1.3,4
2023-06-05,1.8,0
2023-06-06,2,1
2023-06-07,2,0
2023-06-08,0.5,2
2023-06-09,0.3,0
2023-06-10,0,0
2023-06-11,0.4,3
2023-06-12,0,0
2023-06-13,0.4,1
2023-06-14,0.3,0
2023-06-15,0.6,2
2023-06-16,0.6,0
2023-06-17,0.3,0
2023-06-18,0.2,4
2023-06-19,0,0
2023-06-20,0.1,1
2023-06-21,1.1,0
2023-06-22,0.3,2
2023-06-23,1,0
2023-06-24,0,0
2023-06-25,0.1,4
2023-06-26,0.7,0
2023-06-27,0.5,1
2023-06-28,0,0
2023-06-29,0.4,2
2023-06-30,1.3,0
2023-07-01,0.1,0
2023-07-02,1,4
2023-07-03,1.2,1
2023-07-04,2.1,1
2023-07-05,1.5,0
2023-07-06,0.5,2
2023-07-07,0.7,0
2023-07-08,0,0
2023-07-09,0.3,5
2023-07-10,0.4,0
2023-07-11,0.2,1
2023-07-12,0.6,0
2023-07-13,0.3,1
2023-07-14,0.3,0
2023-07-15,0.2,1
2023-07-16,0.9,3
2023-07-17,1.1,0
2023-07-18,1.3,1
2023-07-19,0.3,0
2023-07-20,1.4,2
2023-07-21,2,0
2023-07-22,0.7,0
2023-07-23,0,4
2023-07-24,0.2,1
2023-07-25,1.6,1
2023-07-26,2.2,0
2023-07-27,0,2
2023-07-28,0,0
2023-07-29,0.2,0
2023-07-30,0.3,3
2023-07-31,0,0
2023-08-01,0.1,0
2023-08-02,0,0
2023-08-03,0.2,0
2023-08-04,0.7,0
2023-08-05,1,0
2023-08-06,1.5,4
2023-08-07,1.6,1
2023-08-08,0.3,1
2023-08-09,0.1,1
2023-08-10,0.1,1
2023-08-11,0,0
2023-08-12,0,0
2023-08-13,0,3
2023-08-14,0.2,0
2023-08-15,2.2,1
2023-08-16,1.8,0
2023-08-17,1.1,1
2023-08-18,0,0
2023-08-19,0,0
2023-08-20,0.2,4
2023-08-21,0.7,1
2023-08-22,0,1
2023-08-23,1.1,0
2023-08-24,0.7,2
2023-08-25,2.8,0
2023-08-26,2.1,0
2023-08-27,1.1,4
2023-08-28,1,0
2023-08-29,1,1
2023-08-30,1.5,0
2023-08-31,1,3
2023-09-01,0.2,0
2023-09-02,1.1,0
2023-09-03,1,4
2023-09-04,0.5,0
2023-09-05,0.1,1
2023-09-06,0.3,1
2023-09-07,0,2
2023-09-08,0,0
2023-09-09,0,0
2023-09-10,0,4
2023-09-11,0,0
2023-09-12,0,1
2023-09-13,0.8,0
2023-09-14,2.6,2
2023-09-15,2.3,0
2023-09-16,0.9,0
2023-09-17,0.3,4
2023-09-18,0.5,4
2023-09-19,0.3,1
2023-09-20,0.9,0
2023-09-21,4.5,1
2023-09-22,4.6,0
2023-09-23,4,1
2023-09-24,0.3,4
2023-09-25,0.9,1
2023-09-26,0.5,1
2023-09-27,0.6,0
2023-09-28,0.6,2
2023-09-29,1.4,0
2023-09-30,2.5,1
2023-10-01,0,4
2023-10-02,0.2,4
2023-10-03,1.7,0
2023-10-04,2,0
2023-10-05,1.7,2
2023-10-06,2,2
2023-10-07,2,1
2023-10-08,3.1,3
2023-10-09,3.1,4
2023-10-10,1.7,0
2023-10-11,0.1,0
2023-10-12,0,2
2023-10-13,1.4,1
2023-10-14,5.5,0
2023-10-15,9.2,2
2023-10-16,6.4,4
2023-10-17,3.5,1
2023-10-18,1.6,0
2023-10-19,0.5,2
2023-10-20,1.7,1
2023-10-21,3.6,0
2023-10-22,5.7,4
2023-10-23,2.1,4
2023-10-24,5.8,0
2023-10-25,4.1,0
2023-10-26,3.8,2
2023-10-27,4.8,1
2023-10-28,4.1,2
2023-10-29,4.1,7
2023-10-30,3.5,8
2023-10-31,3.5,1
2023-11-01,3.3,2
2023-11-02,5.7,1
2023-11-03,6.4,1
2023-11-04,5,3
2023-11-05,5.5,12
2023-11-06,7.1,7
2023-11-07,6.7,2
2023-11-08,5.1,2
2023-11-09,6.7,1
2023-11-10,6.8,1
2023-11-11,7.6,3
2023-11-12,4.7,12
2023-11-13,2.2,7
2023-11-14,3.7,2
2023-11-15,5.9,2
2023-11-16,8.3,1
2023-11-17,7.9,1
2023-11-18,1.7,3
2023-11-19,2.9,10
2023-11-20,4.1,8
2023-11-21,5.9,1
2023-11-22,7,2
2023-11-23,4.2,1
2023-11-24,7.3,1
2023-11-25,13.9,3
2023-11-26,7,13
2023-11-27,6.8,6
2023-11-28,10.7,1
2023-11-29,11.9,1
2023-11-30,13.3,1
2023-12-01,15.5,1
2023-12-02,15.7,6
2023-12-03,8.7,23
2023-12-04,7.7,9
2023-12-05,9.8,2
2023-12-06,10.4,1
2023-12-07,5.7,1
2023-12-08,5.8,1
2023-12-09,4.3,2
2023-12-10,4.1,3
2023-12-11,4.7,4
2023-12-12,5.5,1
2023-12-13,8.3,2
2023-12-14,9,1
2023-12-15,7.9,1
2023-12-16,7.2,11
2023-12-17,4.9,4
2023-12-18,3.3,3
2023-12-19,5.4,2
2023-12-20,5.7,0
2023-12-21,3.5,1
2023-12-22,4.9,1
2023-12-23,4.5,17
2023-12-24,2.2,15
2023-12-25,3.1,14
2023-12-26,6.5,18
2023-12-27,4,6
2023-12-28,4.4,0
2023-12-29,6.1,1
2023-12-30,5.7,1
2023-12-31,7.3,8
2024-01-01,6.7,9
2024-01-02,4.3,10
2024-01-03,5.9,2
2024-01-04,9.3,1
2024-01-05,9.6,1
2024-01-06,10.2,2
2024-01-07,13.5,12
2024-01-08,14.6,12
2024-01-09,14.5,2
2024-01-10,13.3,1
2024-01-11,12.2,1
2024-01-12,10.8,1
2024-01-13,13.6,8
2024-01-14,12.9,19
2024-01-15,14.2,10
2024-01-16,17.3,2
2024-01-17,15.2,2
2024-01-18,16.5,1
2024-01-19,17.3,1
2024-01-20,10.2,8
2024-01-21,4.8,19
2024-01-22,6.5,10
2024-01-23,4,2
2024-01-24,5,1
2024-01-25,3.7,1
2024-01-26,8,2
2024-01-27,11.2,2
