GROUP,GROUP_NUMBER,YEAR,SCENARIO,PRY GEN HEADROOM - INVERTER BASED ( MW ),PRY GEN HEADROOM - SYNCHRONOUS LV ( MW ),PRY GEN HEADROOM - SYNCHRONOUS HV ( MW ),PRY BATTERY HEADROOM ( MW),BSP GEN HEADROOM - INVERTER BASED ( MW ),BSP GEN HEADROOM - SYNCHRONOUS ( MW ),BSP BATTERY HEADROOM ( MW ),CENTROID_X,CENTROID_Y,geopoint
PRIMARY,301326,2028,6 - ACCELERATED DECARBONISATION,6.19,6.19,6.19,-0.25,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2030,1 - BEST VIEW,6.32,6.32,6.32,-0.52,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2030,3 - ELECTRIC ENGAGEMENT,6.36,6.36,6.36,-0.51,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2031,3 - ELECTRIC ENGAGEMENT,6.45,6.45,6.45,-0.61,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,2 - COUNTERFACTUAL,6.37,6.37,6.37,-0.46,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,3 - ELECTRIC ENGAGEMENT,6.51,6.51,6.51,-0.72,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2032,4 - HOLISTIC TRANSITION,6.38,6.38,6.38,-1.15,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2036,2 - COUNTERFACTUAL,6.5,6.5,6.5,-0.95,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2036,5 - HYDROGEN EVOLUTION,6.58,6.58,6.58,-0.81,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2039,2 - COUNTERFACTUAL,6.6,6.6,6.6,-1.33,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
PRIMARY,301326,2039,3 - ELECTRIC ENGAGEMENT,6.95,6.95,6.95,-2.49,,,,395551.009997181,389177.381373461,"53.399403079751096, -2.0683756022764728"
