GROUP,GROUP_NUMBER,YEAR,SCENARIO,FIRM HEADROOM ( MVA ),NON-FIRM HEADROOM ( MVA ),CENTROID_X,CENTROID_Y,geopoint
PRIMARY,100111,2051,2 - COUNTERFACTUAL,3.98,8.7,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2033,2 - COUNTERFACTUAL,8.03,12.67,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2030,2 - COUNTERFACTUAL,8.96,13.6,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2042,2 - COUNTERFACTUAL,5.37,10.01,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2025,2 - COUNTERFACTUAL,9.83,14.46,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2039,2 - COUNTERFACTUAL,6.2,10.84,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2042,3 - ELECTRIC ENGAGEMENT,-2.31,2.32,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2026,3 - ELECTRIC ENGAGEMENT,6.69,11.33,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2039,3 - ELECTRIC ENGAGEMENT,0.07,4.71,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2027,3 - ELECTRIC ENGAGEMENT,6.31,10.95,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2029,3 - ELECTRIC ENGAGEMENT,5.45,10.09,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2028,4 - HOLISTIC TRANSITION,7.2,11.84,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2025,4 - HOLISTIC TRANSITION,8.46,13.1,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2051,4 - HOLISTIC TRANSITION,-4.94,-0.56,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2027,4 - HOLISTIC TRANSITION,7.75,12.38,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2024,4 - HOLISTIC TRANSITION,10.3,14.94,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2029,4 - HOLISTIC TRANSITION,6.9,11.54,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2031,5 - HYDROGEN EVOLUTION,7.65,12.29,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2032,5 - HYDROGEN EVOLUTION,7.26,11.89,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2042,5 - HYDROGEN EVOLUTION,4.39,9.03,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2026,5 - HYDROGEN EVOLUTION,9.31,13.95,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2033,5 - HYDROGEN EVOLUTION,7.01,11.64,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2024,5 - HYDROGEN EVOLUTION,10.3,14.94,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2039,5 - HYDROGEN EVOLUTION,5.08,9.72,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
PRIMARY,100111,2036,5 - HYDROGEN EVOLUTION,6.1,10.74,390204.557315757,395729.422052632,"53.458222694873214, -2.1489897350350398"
