Substation/Group,Voltage,Scenario,DFES Year,Financial Year,Headroom (MW),Headroom Type,Grid_Group,Primary_Group
ABERDYFI T1,11.0,EE,2038.0,2038/39,1.288447548362802,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,EE,2040.0,2040/41,0.5951123141724342,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,EE,2045.0,2045/46,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,EE,2046.0,2046/47,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,EE,2048.0,2048/49,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,EE,2049.0,2049/50,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2035.0,2035/36,2.588580546909955,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2036.0,2036/37,2.280380893717354,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2039.0,2039/40,1.465556125931482,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2041.0,2041/42,1.01735286911567,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2044.0,2044/45,0.5175533059177848,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HE,2047.0,2047/48,0.1916886199096552,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2024.0,2024/25,4.542105263157895,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2025.0,2025/26,4.583682316281527,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2034.0,2034/35,2.839061817545181,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2037.0,2037/38,1.84886851352809,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2039.0,2039/40,1.160504620088301,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2041.0,2041/42,0.6588910217461592,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2043.0,2043/44,0.2513206887707895,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2044.0,2044/45,0.09380278856897473,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
ABERDYFI T1,11.0,HT,2047.0,2047/48,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERDYFI T1
