Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
HEATHHALL,11.0,HT,2030,2030/31,8.857703443537208,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2033,2033/34,5.64197477377834,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2035,2035/36,3.800673096426362,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2041,2041/42,0.0,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2042,2042/43,0.0,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2044,2044/45,0.0,Demand,DUMFRIES,HEATHHALL
HEATHHALL,11.0,HT,2047,2047/48,0.0,Demand,DUMFRIES,HEATHHALL
HECLA AVENUE,11.0,EE,2038,2038/39,11.40334827222816,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,EE,2043,2043/44,9.176967285731116,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,EE,2045,2045/46,8.595289880931002,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,EE,2046,2046/47,8.322657499940284,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2036,2036/37,13.25178558841854,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2041,2041/42,11.64648873730659,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2043,2043/44,11.12100262447751,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2044,2044/45,10.91135261307684,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2045,2045/46,10.7142432245189,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2046,2046/47,10.53598124553741,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HE,2049,2049/50,10.03805832937768,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2024,2024/25,15.68345772596681,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2025,2025/26,15.77643050698572,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2028,2028/29,15.57041420591797,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2029,2029/30,15.41355026538078,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2030,2030/31,15.06854278840029,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2039,2039/40,11.44652318286729,Demand,DRUMCHAPEL,HECLA AVENUE
HECLA AVENUE,11.0,HT,2049,2049/50,8.744026122259855,Demand,DRUMCHAPEL,HECLA AVENUE
HELEN STREET,11.0,EE,2044,2044/45,0.0,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,EE,2045,2045/46,0.0,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,EE,2049,2049/50,0.0,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,HE,2040,2040/41,5.204980411961749,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,HE,2043,2043/44,3.478728771557481,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,HE,2044,2044/45,2.948521312627744,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,HE,2046,2046/47,2.122171998595697,Demand,GOVAN,HELEN STREET
HELEN STREET,11.0,HE,2048,2048/49,1.318486479741303,Demand,GOVAN,HELEN STREET
