AssetID,GSP Grouping / Default Order,Map / License Area,Substation,Upstream GSP,Upstream BSP,Substation Type,Voltage (kV),Location Latitude,Location Longitude,Grid Reference,Substation Comment,LTDS CIM Nodes,Transformer Nameplate Ratings,Single Transformer Site,Maximum Observed Gross Demand (MVA),Minimum Observed Gross Demand (MVA),Contracted Demand Excl BESS (MVA),Contracted BESS Demand (MVA),Estimated Demand Headroom (MVA),Substation Demand RAG Status,Demand Constraint,TIA Threshold,Connected Generation (MW),Contracted Generation (MW),Technical Limits Agreed at GSP,Estimated Generation Headroom (MW),3-Phase Break Fault Rating (kA),3-Phase Break Fault Level (kA),Substation Generation RAG Status,Generation Constraint,Upstream Reinforcement Works,Upstream Reinforcement Completion Date,Substation Reinforcement Works,Substation Reinforcement Completion Date
E - AMEM - 01,E - AMEM - 01,England / SEPD,Amersham GSP,N/A,N/A,GSP,400 / 132,51.665161,-0.65571955,SU 93070 97120,"Any available capacity at Amersham GSP is shared with another DNO - UKPN
Maximum and minimum demand figures listed account only for SSEN's network","10410, 10411",2 X 240MVA (Shared with UKPN),No,52.49,14.20,15.51,0.00,N/A,Red,Substation Thermal Capacity,5MW,41.33,1.00,No,N/A,40.00,9.06,Red,Substation Thermal Capacity,"Transmission works:
Add a 3rd 240MVA transformer",Sep-26,,
E - AMEM - 02,E - AMEM - 02,England / SEPD,Loudwater BSP,Amersham GSP,N/A,BSP,132 / 33,51.612766,-0.69230578,SU 90644 91247,,"18530, 18529",2 x 45 / 90MVA,No,49.87,13.87,15.51,0.00,0.00,Red,Upstream Thermal Capacity,5MW,40.00,1.00,No,0.00,17.50,12.06,Red,Upstream Thermal Capacity,,,,
E - AMEM - 03,E - AMEM - 03,England / SEPD,Bowerdean Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.636897,-0.73389355,SU 87718 93880,,85857,2 x 20MVA,No,19.20,3.38,5.39,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,0.00,0.00,No,0.00,13.10,11.08,Red,Upstream Thermal Capacity,,,,
E - AMEM - 04,E - AMEM - 04,England / SEPD,Flackwell Heath Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.595422,-0.69247181,SU 90667 89318,,85874,2 x 15 / 30MVA,No,10.96,1.58,3.03,0.00,0.00,Red,Upstream Thermal Capacity,5MW,1.33,0.00,No,0.00,25.00,8.63,Red,Upstream Thermal Capacity,,,,
E - AMEM - 05,E - AMEM - 05,England / SEPD,Well End Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.583531,-0.7239315,SU 88511 87957,,85868,2 x 15 / 30MVA,No,14.90,3.62,2.65,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,1.00,No,0.00,13.10,9.04,Red,Upstream Thermal Capacity,,,,
E - AMEM - 06,E - AMEM - 06,England / SEPD,Wycombe Marsh Primary,Amersham GSP,Loudwater BSP,Primary,33 / 11,51.618469,-0.72192637,SU 88582 91845,,85864,2 x 12 / 24MVA,No,8.53,1.69,4.44,0.00,0.00,Red,Upstream Thermal Capacity,5MW,0.00,0.00,No,0.00,25.00,8.62,Red,Upstream Thermal Capacity,,,,
E - AXMI - 01,E - AXMI - 01,England / SEPD,Axminster GSP,N/A,N/A,GSP,400 / 132,50.786835,-2.9216119,SY 35130 98990,"Any available capacity at Axminster GSP is shared with another DNO - NGED
Maximum and minimum demand figures listed account only for SSEN's network","15433, 15434, 15435",2 x 240MVA (Shared with NGED),No,97.47,20.20,64.51,143.61,N/A,Green,,5MW,127.38,310.78,Yes,N/A,31.50,9.95,Red,Substation Thermal Capacity,,,,
E - AXMI - 02,E - AXMI - 02,England / SEPD,Yeovil BSP,Axminster GSP,N/A,BSP,132 / 33,50.94991,-2.605157,ST 57586 16894,,"13116, 13117, 13118, 13119, 15134, 26430",2 x 30 / 60MVA + 1 x 45 / 90MVA,No,97.47,20.20,64.51,12.00,16.94,Green,,5MW,92.38,85.98,Yes,0.00,25.00,16.39,Red,Substation Thermal Capacity & Upstream Thermal Capacity,"Reinforce oil filled cable sections of the Axminster GSP to Yeovil BSP 132kV circuits (Dec-28)

Install a 3rd 132kV circuit between Axminster GSP and Yeovil BSP",May-31,Replace both transformers with 90MVA units,May-31
E - AXMI - 03,E - AXMI - 03,England / SEPD,Castle Cary Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,51.07757,-2.5076407,ST 64534 31039,,89938,2 x 7.5 / 15MVA,No,5.87,1.24,2.49,0.00,6.81,Green,,5MW,1.25,0.00,Yes,0.00,25.00,4.94,Red,Upstream Thermal Capacity,,,,
E - AXMI - 04,E - AXMI - 04,England / SEPD,Chilton Cantello Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.992393,-2.601093,ST 57910 21616,,89931,2 x 7.5 / 15MVA,No,8.78,1.39,4.61,0.00,7.15,Green,,5MW,0.00,0.00,Yes,0.00,20.00,8.30,Red,Upstream Thermal Capacity,,,,
E - AXMI - 05,E - AXMI - 05,England / SEPD,Henstridge Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.972128,-2.3905287,ST 72676 19263,,89519,2 x 12 / 24MVA,No,8.84,1.27,5.79,0.00,13.55,Green,,5MW,5.94,0.00,Yes,0.00,25.00,4.91,Red,Upstream Thermal Capacity,,,,
E - AXMI - 06,E - AXMI - 06,England / SEPD,Larkhill Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.949788,-2.6608023,ST 53677 16914,,89929,2 x 15 / 30MVA,No,9.63,2.23,8.87,0.00,12.27,Green,,5MW,0.00,0.00,Yes,0.00,25.00,10.31,Red,Upstream Thermal Capacity,,,,
E - AXMI - 07,E - AXMI - 07,England / SEPD,Milborne Port Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.97618,-2.4581769,ST 67929 19741,,89927,1 x 5MVA,Yes,3.91,0.56,0.35,0.00,2.14,Green,,5MW,4.00,0.00,Yes,0.00,25.00,2.49,Red,Upstream Thermal Capacity,,,,
E - AXMI - 08,E - AXMI - 08,England / SEPD,Pulham Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.883844,-2.405384,ST 71579 09451,,89924,2 x 8MVA,No,4.03,0.58,0.47,0.00,6.11,Green,,5MW,0.19,0.00,Yes,0.00,13.10,4.50,Red,Upstream Thermal Capacity,,,,
E - AXMI - 09,E - AXMI - 09,England / SEPD,Sherborne Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.961757,-2.5142939,ST 63978 18163,,89926,2 x 7.5 / 15MVA,No,8.01,1.76,1.36,0.00,5.36,Green,,5MW,0.19,0.00,Yes,0.00,25.00,7.30,Red,Upstream Thermal Capacity,,,,
E - AXMI - 10,E - AXMI - 10,England / SEPD,Sparkford Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,51.027483,-2.560808,ST 60767 25496,,15106,2 x 5MVA,No,3.88,0.82,0.76,0.00,2.18,Green,,5MW,0.00,0.00,Yes,0.00,13.10,6.86,Red,Upstream Thermal Capacity,,,,
E - AXMI - 11,E - AXMI - 11,England / SEPD,West Hendford Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.936657,-2.6417877,ST 55000 15442,,89939,3 x 15 / 30MVA,No,17.76,3.07,12.90,0.00,16.94,Green,,5MW,0.00,0.00,Yes,0.00,13.10,13.88,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - AXMI - 12,E - AXMI - 12,England / SEPD,Yeovil Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.949369,-2.6036695,ST 57690 16833,,15102,2 x 15 / 30MVA,No,25.46,3.67,7.19,0.00,5.88,Green,,5MW,15.21,0.00,Yes,0.00,13.10,14.55,Red,Upstream Thermal Capacity & Substation Fault Level,,,Replace the 11kV board with 25kA break / 62.5kA make switchgear,Dec-26
E - AXMI - 13,E - AXMI - 13,England / SEPD,Yetminster Primary,Axminster GSP,Yeovil BSP,Primary,33 / 11,50.889965,-2.5658791,ST 60294 10206,,89925,2 x 7.5 / 12MVA,No,6.67,1.22,0.72,0.00,8.23,Green,,5MW,0.82,0.20,Yes,0.00,25.00,7.78,Red,Upstream Thermal Capacity,,,,
E - BOTW - 01,E - BOTW - 01,England / SEPD,Botley Wood GSP,N/A,N/A,GSP,400 / 132,50.884718,-1.2327295,SU 54070 09750,,"12210, 12211",2 x 240MVA,No,142.14,21.76,37.07,265.83,N/A,Green,,5MW,104.36,439.09,Yes,N/A,40.00,10.07,Red,Substation Thermal Capacity,,,,
E - BOTW - 02,E - BOTW - 02,England / SEPD,Botley Wood BSP,Botley Wood GSP,N/A,BSP,132 / 33,50.884798,-1.2326856,SU 54073 09759,,"12230, 13425",2 x 45 / 90MVA,No,33.09,5.90,20.31,67.53,71.60,Green,,5MW,68.90,77.99,Yes,0.00,25.00,13.42,Red,Substation Thermal Capacity & Upstream Thermal Capacity,,,,
