Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   71.2   75.2  155.6  133.5  211.0  192.9  118.5  167.0  124.1   72.9   80.8   30.7     ---   500.1   478.4   277.8  1433.4
1911   60.8   68.9   89.6  161.2  224.4  218.4  312.8  238.4  212.8   98.6   58.6   43.1   160.4   475.3   769.6   370.0  1787.6
1912   35.0   53.4   94.2  241.7  174.5  192.9  163.0  107.8  112.2  128.6   36.0   25.8   131.5   510.4   463.6   276.7  1365.0
1913   45.9   67.7  104.6  130.9  201.3  201.7  101.3  165.4  136.9  108.3   83.9   40.7   139.3   436.7   468.5   329.1  1388.5
1914   38.6   92.4   99.3  230.8  204.3  242.3  173.4  191.0  194.6   76.3   67.2   39.5   171.8   534.5   606.7   338.1  1649.8
1915   34.1   73.0   98.9  173.2  221.0  231.3  181.5  168.8  172.2   77.4   71.5   37.4   146.6   493.1   581.6   321.0  1540.2
1916   53.5   71.5   58.9  190.5  182.9  130.7  145.8  165.9  107.9   87.8   69.2   24.2   162.4   432.2   442.4   264.9  1288.8
1917   23.0   42.7   79.4  131.9  242.5  224.5  227.3  159.5  165.9  150.3   58.0   60.0    89.9   453.8   611.2   374.2  1564.9
1918   61.3   78.2  135.5  103.0  226.8  229.9  201.5  185.9  152.0   70.3   69.2   33.4   199.5   465.4   617.3   291.5  1547.1
1919   36.1   50.2   89.8  116.1  267.8  225.1  115.7  216.2  164.4  132.4   51.8   31.0   119.7   473.6   557.1   348.6  1496.7
1920   53.1   89.0  141.6   92.4  234.3  229.0  159.9  146.3  107.3  165.9   82.6   30.3   173.1   468.3   535.1   355.8  1531.5
1921   46.6   78.1  138.4  206.7  245.5  210.7  262.5  177.8  172.0  148.2   70.3   42.1   155.0   590.6   650.9   390.5  1798.9
1922   36.2  102.2  102.9  167.0  276.6  227.5  149.0  147.8  128.6  134.7   56.0   47.4   180.5   546.5   524.3   319.4  1575.9
1923   61.7   57.4  100.5  146.3  152.7  130.5  225.4  245.1  183.8   92.6   93.0   37.5   166.5   399.5   601.0   369.4  1526.5
1924   59.4   45.9  168.2  148.1  183.5  197.6  236.0  163.1  120.4   94.4   44.8   47.9   142.9   499.8   596.8   259.7  1509.5
1925   53.5   68.7   90.4  136.9  220.9  250.3  192.4  147.3  118.6  102.6   83.1   59.9   170.1   448.2   590.0   304.3  1524.5
1926   48.3   45.7  121.3  111.4  179.1  182.3  184.9  204.9  142.4  113.8   45.5   56.6   153.8   411.8   572.1   301.7  1436.2
1927   56.9   50.0  126.6  167.7  214.1  178.7  139.1  181.6  109.3  101.4   56.4   33.1   163.5   508.4   499.3   267.2  1415.1
1928   61.6   96.1   99.8  133.0  168.3  222.3  277.5  192.4  209.7  119.0   66.7   51.8   190.7   401.1   692.1   395.4  1698.0
1929   37.8   56.7  165.7  148.2  245.2  197.5  238.4  184.5  192.0  118.8   65.0   66.8   146.3   559.2   620.4   375.7  1716.6
1930   55.6   60.7  129.9  118.3  166.2  231.6  172.8  220.5  124.7  137.4   72.7   32.3   183.1   414.4   624.9   334.8  1522.7
1931   60.7   55.9  169.4  119.7  173.7  191.3  156.7  158.0  113.0  123.3   57.9   39.8   148.9   462.8   505.9   294.2  1419.4
1932   51.1   64.6  134.4  126.0  116.1  194.1  144.0  185.4  116.0   85.6   43.0   53.8   155.6   376.4   523.5   244.5  1313.9
1933   63.5   87.5  185.0  154.0  167.3  235.4  238.4  243.7  180.4   97.5   44.5   42.1   204.7   506.3   717.5   322.4  1739.3
1934   56.7   99.7  118.6  122.8  207.2  195.9  268.4  186.6  185.0   94.0   43.0   21.9   198.5   448.5   650.9   322.0  1599.6
1935   49.9   54.8  126.0  134.1  230.0  218.6  285.6  211.2  154.0  112.3   57.9   39.0   126.7   490.1   715.4   324.2  1673.5
1936   44.3   78.2   84.5  150.4  182.1  203.5  157.4  178.2  113.3  108.4   50.4   60.4   161.5   416.9   539.1   272.1  1411.0
1937   50.7   67.3  107.0   82.8  172.0  189.5  122.4  179.1  151.2   85.7   60.5   28.5   178.4   361.8   491.1   297.4  1296.8
1938   45.5   74.6  170.0  158.0  169.2  204.3  170.6  164.6  120.6  124.9   70.9   46.7   148.6   497.2   539.5   316.5  1520.0
1939   48.1  104.5   93.7  170.2  195.3  214.5  168.6  170.3  143.0   89.2   40.5   39.2   199.3   459.2   553.5   272.7  1477.2
1940   72.2   27.7  122.3  124.4  245.2  263.4  191.5  181.8  167.9  104.0   78.2   36.4   139.1   491.9   636.7   350.1  1615.0
1941   30.8   56.5  114.9  107.8  157.6  214.2  235.9  164.3  110.2  107.8   40.9   36.6   123.7   380.4   614.4   259.0  1377.6
1942   30.1   38.1   90.1  237.9  206.4  234.6  183.6  154.7  133.8   91.9   47.4   45.4   104.7   534.4   572.9   273.2  1494.0
1943   53.9   84.9  139.4  163.8  266.8  205.0  217.3  174.7  151.0   98.0   76.5   50.5   184.2   570.0   597.0   325.5  1681.7
1944   50.7   56.8  119.2  149.7  238.1  167.4  146.4  206.6  151.6  102.8   58.1   47.5   157.9   506.9   520.4   312.5  1494.7
1945   37.7   68.6  138.6  171.6  187.7  207.1  200.0  151.2   87.9  103.8   38.6   43.3   153.8   498.0   558.4   230.3  1436.3
1946   56.3   71.7  101.2  209.6  202.2  179.2  220.7  156.8  123.7   87.6   48.4   63.3   171.3   513.0   556.7   259.7  1520.7
1947   68.0   26.7   70.6  169.8  219.5  216.5  191.5  286.0  171.9  115.3   81.4   34.1   158.1   459.8   693.9   368.6  1651.3
1948   42.8   71.9  166.6  217.1  236.3  173.3  183.7  143.1  147.8   97.8   67.4   55.0   148.9   619.9   500.0   312.9  1602.6
1949   61.6  123.5  105.7  195.5  205.2  236.0  226.6  223.2  163.0  123.1   68.9   53.7   240.1   506.4   685.9   355.1  1786.1
1950   39.1   73.8  127.6  162.4  161.3  271.2  199.6  184.0  122.0  114.6   51.5   34.9   166.6   451.2   654.8   288.1  1541.9
1951   50.3   59.7  102.3  184.7  167.8  249.4  213.1  169.5  129.9  121.0   56.9   61.6   144.9   454.8   632.0   307.7  1566.1
1952   76.9   73.7   89.7  177.3  227.2  204.6  197.3  186.8  132.5  116.0   67.5   59.7   212.2   494.1   588.7   316.0  1609.2
1953   32.3   64.5  126.8  162.3  223.5  131.5  191.9  215.7  171.7   74.9   51.8   33.0   156.5   512.7   539.1   298.4  1479.9
1954   61.1   55.2   95.4  165.9  159.2  148.8  137.1  132.0  164.4  104.5   59.8   59.3   149.3   420.6   417.8   328.8  1342.8
1955   35.4   79.3  155.5  165.9  190.1  173.1  239.2  190.6  160.1  124.2   50.3   55.9   174.0   511.5   603.0   334.5  1619.5
1956   59.6   66.3  144.5  167.1  241.2  136.0  159.6  156.2  116.1  112.6   63.0   16.2   181.8   552.8   451.8   291.7  1438.4
1957   58.9   80.0  106.6  161.0  203.6  277.5  155.0  157.9  107.0   94.3   70.5   54.0   155.1   471.2   590.4   271.8  1526.2
