Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England E and NE
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   55.1   69.2  127.1  112.8  173.1  174.7  129.6  138.5  106.8   75.1   75.7   30.4     ---   413.0   442.7   257.6  1268.0
1911   45.4   62.8   87.5  118.9  188.5  199.9  257.4  183.5  182.3   73.6   57.5   33.6   138.6   394.8   640.8   313.5  1490.8
1912   31.2   50.7   91.7  198.0  142.6  119.2   99.9   72.0  102.0   93.2   34.6   20.9   115.5   432.3   291.1   229.8  1056.0
1913   20.2   52.4  105.6  110.0  144.6  178.5   97.4  141.8  111.7   82.5   62.5   32.8    93.5   360.2   417.7   256.7  1140.0
1914   31.3   67.1   93.7  220.5  147.3  215.3  137.6  171.6  171.8   70.1   49.4   38.1   131.2   461.5   524.5   291.3  1413.8
1915   28.9   60.9  114.0  163.5  192.0  205.4  159.4  139.5  153.2   61.8   65.2   30.3   128.0   469.4   504.3   280.2  1374.0
1916   44.4   66.1   61.6  154.0  147.1  112.7  142.5  143.7  120.0   73.1   49.7   28.6   140.7   362.6   398.8   242.8  1143.3
1917   16.6   46.2   97.6  111.4  181.9  210.3  191.2  119.4  126.4  117.8   47.4   42.0    91.3   390.9   521.0   291.6  1308.2
1918   45.8   53.4   93.9  111.1  183.6  207.6  183.4  154.3  128.2   69.7   56.9   31.5   141.2   388.7   545.2   254.8  1319.4
1919   33.1   47.7   85.0  112.4  207.5  181.2  125.4  177.9  134.3  111.7   42.6   29.2   112.4   405.0   484.5   288.6  1288.2
1920   49.7   82.3  104.7   93.7  186.7  204.9  116.9  119.2  102.8  100.9   47.6   30.0   161.3   385.1   440.9   251.2  1239.4
1921   29.9   62.8  105.6  179.4  225.7  210.5  195.9  131.5  156.3  122.0   62.7   44.6   122.8   510.7   538.0   341.0  1527.0
1922   34.6   71.5   81.7  157.0  213.7  210.0  129.6  134.6   83.1  103.1   72.7   33.7   150.7   452.4   474.2   258.9  1325.3
1923   56.1   36.6   94.5  130.2  153.4  139.4  174.7  173.8  149.7   96.6   68.6   41.8   126.4   378.2   487.8   315.0  1315.5
1924   43.4   46.5  126.8  133.2  134.4  163.7  171.3  129.3  119.9   90.8   47.9   32.3   131.7   394.4   464.4   258.6  1239.6
1925   39.6   65.5   98.8  135.1  151.6  209.7  178.0  127.8  110.6   95.0   72.7   46.6   137.3   385.4   515.5   278.3  1330.8
1926   34.0   44.1  107.9  109.1  182.7  154.4  173.1  192.2  135.4  114.5   49.2   52.4   124.6   399.6   519.7   299.0  1348.8
1927   38.0   54.4  104.3  149.4  143.0  179.3  133.2  137.4   98.4   90.3   58.9   23.1   144.8   396.8   449.8   247.7  1209.8
1928   48.6   82.6   66.2  127.4  136.7  183.2  234.9  163.6  149.2  100.0   60.5   42.9   154.3   330.3   581.7   309.8  1395.9
1929   31.8   33.9  157.4  147.8  200.7  181.1  186.0  151.5  163.0  111.4   61.9   49.4   108.7   505.9   518.5   336.3  1475.9
1930   52.9   46.1   98.5   93.7  154.4  203.0  152.8  181.2   99.6  116.7   76.9   27.9   148.4   346.5   537.0   293.1  1303.6
1931   64.5   52.9  137.0  120.5  169.3  144.2  119.8  155.9   86.0  134.2   46.4   44.2   145.3   426.8   419.9   266.6  1275.0
1932   65.3   71.3   97.0  135.1  101.2  180.3  126.5  138.8  139.4   84.3   38.9   41.9   180.8   333.3   445.6   262.6  1220.0
1933   42.1   71.2  152.7  117.4  120.9  228.1  210.5  206.4  152.7   80.7   44.4   29.5   155.2   391.0   644.9   277.8  1456.5
1934   60.2   95.5   95.8  114.3  177.2  170.8  240.4  165.2  151.9   90.8   40.9   18.8   185.2   387.3   576.3   283.6  1421.8
1935   44.3   47.4  102.0  128.8  209.2  176.9  246.2  181.8  136.0   82.7   45.5   47.2   110.4   440.0   604.9   264.2  1448.0
1936   45.8   71.7   59.8  174.0  162.3  180.0  136.9  177.1   95.0  102.5   56.9   50.3   164.7   396.1   493.9   254.4  1312.2
1937   38.7   75.5   82.3   76.3  161.3  158.8  122.6  151.0  128.3   68.3   53.9   28.6   164.5   319.9   432.3   250.5  1145.3
1938   50.7   57.2  115.6  138.8  164.8  183.8  141.4  143.9  104.9  101.4   72.2   39.3   136.6   419.3   469.1   278.5  1314.1
1939   43.2   76.0   95.8  160.3  178.5  205.1  145.7  132.7   98.3   91.2   50.1   38.4   158.6   434.7   483.6   239.5  1315.4
1940   49.5   29.0  101.7  108.4  213.3  282.3  155.2  159.4  156.0   68.9   57.6   38.1   116.9   423.3   596.8   282.4  1419.2
1941   30.4   61.7   94.9   99.3  142.7  190.9  174.9  157.2   77.9   90.4   39.1   41.8   130.2   336.9   523.1   207.4  1201.3
1942   18.7   42.2   69.2  208.1  195.6  195.7  178.1  111.0  146.6   93.7   45.4   31.4   102.7   472.9   484.7   285.7  1335.8
1943   44.5   98.7  123.7  153.6  222.3  186.1  196.1  122.8  132.8   93.7   67.9   43.5   174.6   499.5   505.0   294.4  1485.6
1944   37.9   47.7  113.7  129.3  163.3  150.2   99.9  150.3  126.7   90.8   50.9   38.9   129.1   406.2   400.5   268.4  1199.6
1945   47.5   68.4  117.5  174.4  163.6  184.2  183.5  145.5  111.4   93.3   39.6   36.5   154.8   455.5   513.2   244.3  1365.4
1946   36.6   86.6  103.3  165.2  186.0  183.5  174.7  131.8  103.3   63.1   32.2   50.2   159.7   454.4   490.0   198.6  1316.4
1947   41.5   34.1   69.8  145.6  176.8  157.7  164.3  240.7  143.0   88.3   92.4   33.3   125.8   392.2   562.6   323.7  1387.5
1948   35.4   56.2  140.9  174.7  210.8  156.7  164.3  107.5  111.2   87.9   58.3   43.8   124.9   526.4   428.5   257.4  1347.7
1949   51.7  106.1   94.3  149.2  209.5  235.5  194.9  176.9  126.6   93.0   53.5   46.0   201.6   453.0   607.3   273.1  1537.2
1950   27.1   78.7  123.1  137.9  130.2  232.8  179.6  154.3  107.1   96.0   53.9   36.6   151.8   391.2   566.6   257.1  1357.3
1951   48.8   60.3   88.4  174.1  145.2  196.0  178.6  142.6  122.5  104.0   54.5   49.8   145.7   407.7   517.2   281.1  1364.9
1952   66.6   82.3   85.4  158.2  198.3  175.3  178.8  171.2  100.9  106.9   65.5   49.1   198.6   441.8   525.3   273.3  1438.4
1953   40.7   62.2  135.1  153.8  201.9  118.2  169.1  180.2  141.5   82.0   44.5   31.5   151.9   490.8   467.4   268.0  1360.6
1954   43.4   43.8   87.1  147.2  141.4  129.8  135.9  102.9  158.5   84.4   66.5   45.5   118.7   375.6   368.6   309.5  1186.4
1955   37.4   74.4  135.2  156.2  192.1  169.1  252.9  171.1  152.5  119.8   45.2   49.5   157.3   483.4   593.2   317.5  1555.5
1956   54.4   54.5  118.8  156.4  227.8  139.6  150.8  125.6  109.1  111.6   56.9   23.1   158.4   503.0   416.0   277.7  1328.6
1957   43.9   86.4   86.1  142.9  199.2  272.0  121.4  121.6  120.3   87.6   58.2   45.4   153.4   428.2   515.0   266.1  1385.0
1958   59.4   64.1  105.0  144.0  161.2  118.3  166.9  138.5  128.2  106.7   50.8   32.1   168.8   410.1   423.7   285.6  1275.0
1959   81.9   49.7   82.8  154.2  216.0  213.4  216.3  196.1  165.2  132.4   46.1   27.4   163.7   453.0   625.8   343.8  1581.6
1960   36.0   77.4   58.7  148.5  191.8  248.4  139.0  152.9  108.1   51.8   54.5   46.7   140.8   399.0   540.3   214.3  1313.7
1961   43.5   63.3  130.1   96.4  180.8  185.1  127.3  177.2  124.3  105.9   67.6   44.8   153.5   407.3   489.6   297.9  1346.3
1962   65.6   72.0  112.0  151.5  162.7  212.6  114.4  148.4   90.7   97.9   50.3   62.3   182.4   426.2   475.5   239.0  1340.6
1963   55.6   66.5   98.8  114.7  183.8  179.8  172.7  109.0  155.5   92.3   42.6   36.0   184.4   397.3   461.6   290.4  1307.4
1964   56.2   60.0   43.0  113.5  202.9  135.9  173.1  169.5  159.3  101.7   60.7   44.1   152.2   359.4   478.4   321.7  1319.8
1965   64.4   34.0  117.5  153.4  155.8  171.4   97.8  157.7   85.4   93.3   62.7   50.8   142.6   426.7   426.9   241.4  1244.3
1966   25.4   36.2  116.4   86.8  203.2  138.8  168.4  144.3  115.2   71.8   51.7   49.8   112.4   406.5   451.5   238.7  1208.0
1967   65.1   77.4  147.5  116.2  136.2  209.4  189.1  141.8  106.0  103.7   62.0   59.0   192.3   400.0   540.3   271.7  1413.5
1968   40.9   64.3  104.0  183.3  143.5  200.4  107.1  126.4  108.8   63.0   32.9   31.5   164.2   430.8   433.9   204.7  1206.0
1969   31.5   61.2   65.1  161.2  123.7  238.1  206.6  136.0  100.3   95.3   67.1   25.0   124.2   349.9   580.7   262.8  1311.2
1970   31.8   98.2  118.7  137.2  178.7  242.9  144.0  171.0  126.6  100.1   55.2   44.4   155.1   434.5   557.8   281.9  1448.8
1971   33.3   66.6   85.0  107.0  221.6  124.2  209.2  125.5  153.5  117.7   69.7   33.7   144.3   413.6   458.9   340.9  1346.9
1972   37.9   33.4  115.6  114.6  157.8  149.5  152.9  179.2  103.4   89.4   65.5   32.0   105.1   388.1   481.6   258.3  1231.3
1973   36.8   96.6  115.4  140.1  168.9  211.9  132.7  166.4  127.9   76.8   89.8   54.3   165.3   424.4   511.0   294.5  1417.5
1974   55.0   62.3   90.3  120.2  199.3  176.9  151.9  173.5  124.5   75.4   57.7   53.4   171.6   409.9   502.2   257.6  1340.5
1975   42.0   44.2   95.6  117.9  188.9  245.2  182.1  228.2  135.3   91.4   73.2   54.4   139.6   402.5   655.5   299.9  1498.5
1976   48.7   47.2   99.0  123.3  131.7  242.3  257.5  228.1   84.2   67.7   65.2   54.9   150.3   354.0   728.0   217.1  1449.8
