Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England NW and N Wales
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   46.5   70.9  125.2  118.0  199.2  174.3  176.6  118.0  119.2   77.7   59.9   26.9     ---   442.4   468.9   256.8  1312.5
1911   42.0   54.9  100.4  119.6  212.0  209.9  250.0  219.4  155.2   90.7   53.5   32.3   123.9   432.1   679.3   299.4  1540.0
1912   36.2   53.6   75.8  203.0  139.8  131.0  128.4   83.1  103.5   89.7   34.4   13.4   122.1   418.6   342.5   227.7  1091.9
1913   29.5   53.9  101.0  103.3  147.5  161.6  153.9  163.7  117.3   79.9   48.5   26.6    96.8   351.9   479.2   245.7  1186.8
1914   25.1   54.0   85.0  200.5  138.6  205.7  145.1  183.7  164.5   67.2   50.5   30.1   105.8   424.1   534.4   282.2  1349.9
1915   36.4   65.0  102.2  152.2  224.8  206.7  150.8  126.2  156.1   69.9   74.7   24.2   131.4   479.3   483.6   300.7  1389.2
1916   31.2   55.3   59.5  155.4  156.9  147.0  150.5  160.2   97.5   61.3   37.4   39.2   110.7   371.7   457.8   196.2  1151.4
1917   24.6   50.1   97.3  123.2  170.5  215.6  223.4  111.0  104.2   86.3   34.4   32.9   113.9   391.0   550.0   224.9  1273.5
1918   43.0   37.6  108.1  149.6  193.2  202.9  189.5  141.6  109.7   73.8   62.8   25.6   113.5   450.9   534.0   246.3  1337.3
1919   38.6   58.5   89.2  121.4  211.6  189.6  160.7  160.7  133.7  104.3   42.3   29.7   122.7   422.2   511.0   280.3  1340.4
1920   37.3   66.9   86.5   77.9  155.4  176.9  103.6  117.1  112.2  113.0   50.3   33.4   134.0   319.7   397.5   275.4  1130.2
1921   24.4   62.7   83.3  185.2  215.0  225.8  208.7  128.2  153.1   95.3   56.1   30.3   120.5   483.6   562.6   304.5  1468.1
1922   40.9   59.9  106.6  166.0  193.2  187.4  147.4  112.5   89.3  106.8   48.8   22.1   131.1   465.8   447.4   244.9  1281.0
1923   34.3   46.6   99.1  130.5  166.3  129.8  151.2  145.2  130.2   80.3   62.0   35.9   103.1   395.9   426.3   272.5  1211.5
1924   37.3   47.0  133.1  135.5  138.1  146.0  151.0  120.8   98.6   87.6   52.4   33.5   120.1   406.8   417.7   238.7  1180.9
1925   34.4   53.5   93.6  161.3  130.5  256.2  176.3  130.9  113.9   72.4   82.1   41.8   121.4   385.4   563.3   268.4  1346.8
1926   30.7   36.6   82.8  119.0  170.0  195.5  153.7  169.7  106.9   92.5   44.6   32.0   109.0   371.8   518.8   243.9  1233.8
1927   30.6   57.0   92.2  131.2  174.0  161.9  128.9  133.9   99.4   94.8   55.5   25.0   119.5   397.3   424.8   249.8  1184.4
1928   37.7   67.7   71.5  133.1  161.4  173.5  196.2  147.6  141.6   83.8   44.1   30.5   130.4   366.0   517.3   269.5  1288.7
1929   39.5   52.0  185.9  162.4  232.4  224.9  176.0  132.1  147.7   93.7   38.5   41.3   121.9   580.7   533.0   279.9  1526.4
1930   43.1   65.6   91.7  104.0  160.2  216.8  129.9  145.5   99.7   82.8   53.1   20.9   150.1   355.9   492.2   235.7  1213.3
1931   46.1   44.2  132.0  102.9  167.7  130.5  113.7  161.3   86.1  112.0   38.7   24.5   111.2   402.6   405.5   236.8  1159.9
1932   48.6   69.4   92.4  124.5  112.8  212.4  116.5  137.1  111.5   70.8   36.5   39.1   142.5   329.7   466.0   218.8  1171.6
1933   56.3   73.2  132.3  124.0  139.4  195.4  186.6  179.4  170.2   73.5   49.9   35.2   168.7   395.7   561.4   293.6  1415.4
1934   51.4   68.6   88.5  125.2  150.7  200.7  225.7  143.6  133.7   59.3   34.9   16.9   155.2   364.4   569.9   227.9  1299.1
1935   37.7   40.4   99.9  144.4  248.1  159.9  209.3  174.5  113.9   56.1   47.6   36.2    94.9   492.4   543.6   217.6  1367.9
1936   33.0   68.5   46.7  166.3  192.5  150.4  113.2  154.8   91.3   87.9   47.4   33.2   137.8   405.4   418.4   226.6  1185.2
1937   28.7   49.8   89.4   98.5  181.7  139.9  116.6  169.6  120.7   71.6   56.4   30.7   111.8   369.6   426.1   248.7  1153.6
1938   31.4   59.1  100.9  177.8  167.3  158.9  118.6  148.5   92.9   76.4   52.8   37.9   121.2   446.0   426.0   222.1  1222.4
1939   31.4   59.2   82.2  164.2  187.8  231.1  121.2  154.7  110.3  100.5   35.5   29.0   128.5   434.1   507.0   246.3  1307.1
1940   56.3   35.1   98.8  104.6  194.4  288.3  150.9  149.3  139.1   67.0   40.0   36.5   120.4   397.8   588.5   246.1  1360.3
1941   35.7   59.6  102.0  100.4  157.0  196.8  184.5  144.8   95.6   92.5   38.9   27.2   131.8   359.4   526.0   226.9  1234.9
1942   32.7   52.2   67.7  198.8  200.5  210.7  159.1  103.0  124.8   66.3   40.4   23.2   112.1   467.0   472.9   231.5  1279.5
1943   30.0   64.4  122.7  144.3  214.2  197.2  215.0  117.6  111.4   88.4   50.1   36.2   117.5   481.3   529.8   249.8  1391.5
1944   26.5   59.7  114.7  136.3  175.8  144.1   87.7  174.5  110.2   75.1   37.4   37.6   122.3   426.8   406.3   222.8  1179.7
1945   49.8   62.0  100.1  181.9  153.7  168.5  144.1  171.2   97.7   83.5   41.0   29.3   149.4   435.8   483.8   222.2  1282.9
1946   40.7   66.3  116.4  154.8  227.7  154.6  155.1  129.2   89.8   78.8   23.9   40.5   136.3   498.9   438.9   192.5  1277.8
1947   37.9   39.9   66.9  127.1  161.6  150.6  133.5  271.3  110.8   98.4   67.8   23.0   118.3   355.7   555.4   277.1  1288.9
1948   33.0   59.8  154.0  158.9  254.6  153.2  156.4   97.1   80.0   76.2   57.6   50.1   115.8   567.5   406.7   213.8  1330.9
1949   38.7   87.7  130.2  138.0  224.2  253.1  193.3  177.2  146.4   73.6   40.8   31.3   176.5   492.4   623.6   260.8  1534.5
1950   35.1   57.9  109.9  131.5  185.5  210.3  163.6  139.6   91.1   88.4   49.2   31.7   124.3   427.0   513.5   228.7  1293.9
1951   35.0   56.2   79.1  170.0  177.5  213.6  167.7  124.0  104.3  102.4   43.0   36.2   122.9   426.6   505.2   249.6  1308.8
1952   52.0   76.0   92.8  137.7  176.8  165.1  140.4  141.5   93.8   95.4   66.5   33.6   164.2   407.2   446.9   255.7  1271.4
