Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SE and Central S
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   64.4   79.2  164.8  132.7  213.1  185.7  133.9  158.3  149.7   71.8   80.2   36.8     ---   510.6   477.9   301.7  1470.6
1911   59.8   75.4   93.2  158.3  219.6  226.1  342.5  249.9  226.6  104.0   61.4   46.6   172.0   471.0   818.6   392.0  1863.3
1912   32.1   47.2   97.8  243.5  177.6  194.2  158.8  105.0  128.0  127.4   35.2   32.4   125.9   518.9   458.1   290.6  1379.4
1913   42.5   69.7  104.0  120.5  210.1  206.8  120.4  152.0  135.6   99.0   73.6   44.4   144.6   434.7   479.2   308.2  1378.6
1914   39.9   84.8   94.8  229.1  205.1  259.0  177.9  200.4  210.0   86.2   72.8   43.9   169.1   529.0   637.4   368.9  1703.9
1915   44.0   84.8   97.3  168.6  224.2  218.6  192.9  169.5  180.2   66.9   83.5   34.0   172.8   490.2   580.9   330.6  1564.6
1916   46.0   74.8   69.8  199.0  192.8  152.8  186.4  179.9  119.0   87.0   61.9   32.5   154.8   461.6   519.2   267.8  1401.9
1917   37.1   62.4   85.4  161.4  206.0  223.2  203.7  154.7  154.4  135.6   52.7   63.9   131.9   452.7   581.6   342.7  1540.3
1918   63.0   68.9  145.6  103.9  239.5  233.7  211.6  186.6  158.5   80.8   73.5   32.8   195.7   489.0   631.9   312.8  1598.3
1919   43.1   57.8   95.7  136.1  247.8  230.1  132.9  238.8  164.3  147.3   49.6   34.5   133.7   479.6   601.8   361.2  1578.0
1920   53.3   78.8  136.3   89.7  210.3  208.0  140.2  164.0  108.5  134.0   72.8   34.6   166.6   436.4   512.2   315.2  1430.6
1921   35.4   76.2  134.4  214.5  230.6  239.2  266.5  173.1  178.0  162.7   72.0   37.7   146.2   579.5   678.9   412.7  1820.5
1922   48.7   93.8  101.8  156.8  282.3  227.1  161.7  135.3  122.5  132.2   56.6   47.7   180.2   540.9   524.0   311.2  1566.3
1923   61.4   57.5   99.8  134.2  170.4  133.0  226.0  247.6  187.6   96.2   95.2   47.4   166.7   404.4   606.6   379.0  1556.2
1924   61.0   59.0  172.7  140.5  200.7  197.4  242.8  159.6  121.9   81.1   52.7   52.6   167.3   513.9   599.8   255.6  1541.8
1925   52.8   75.2  106.0  146.9  211.0  288.9  198.3  155.7  139.2  111.4   90.4   62.5   180.6   463.9   642.9   341.0  1638.3
1926   50.7   46.0  115.8  120.8  168.4  206.0  183.6  208.1  136.5   98.0   42.3   55.8   159.2   405.0   597.7   276.8  1431.9
1927   57.1   52.7  126.1  173.4  238.5  183.4  130.6  173.2  110.9  102.3   54.5   34.2   165.6   538.0   487.1   267.7  1436.8
1928   63.2  104.1  102.1  138.3  175.7  222.3  286.2  201.6  216.5  112.2   63.3   46.5   201.5   416.0   710.1   392.0  1732.0
1929   42.2   68.1  184.4  160.4  250.3  212.4  256.4  193.3  200.9  111.0   76.1   63.4   156.9   595.0   662.0   388.0  1818.8
1930   48.8   69.8  123.3  127.1  157.7  239.0  195.9  223.3  131.3  123.3   68.8   36.0   181.9   408.0   658.2   323.4  1544.1
1931   64.2   73.0  139.1  115.1  169.6  193.2  165.3  149.3  122.8  110.9   61.9   37.4   173.2   423.8   507.9   295.7  1402.0
1932   50.9   71.6  142.2  127.1  121.3  217.9  147.9  201.4  107.4  105.1   44.5   52.9   159.9   390.6   567.2   257.0  1390.2
1933   61.2   81.6  187.6  174.5  176.9  245.0  250.2  255.3  187.2  108.2   60.3   45.9   195.7   539.0   750.5   355.7  1833.9
1934   56.1   93.7  121.5  132.7  226.2  213.0  286.8  193.5  178.6   75.8   37.3   28.3   195.7   480.4   693.3   291.6  1643.4
