Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SW and S Wales
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   52.7   87.8  157.7  137.6  212.3  177.6  158.5  147.0  145.3   74.9   74.2   34.9     ---   507.6   483.2   294.4  1460.6
1911   61.4   65.6  100.7  149.5  223.5  219.9  315.7  224.3  183.3  103.7   70.7   51.6   161.8   473.7   759.9   357.7  1769.8
1912   44.7   55.5   86.8  204.0  150.2  163.8  139.1   83.1  133.2  107.8   43.1   28.5   151.7   441.0   386.0   284.1  1239.9
1913   36.6   70.9  103.6  105.6  181.2  198.8  164.2  159.9  105.8  100.8   64.3   46.6   136.1   390.4   522.9   270.9  1338.4
1914   32.0   61.1   97.0  229.2  186.1  230.1  160.7  191.5  186.0   86.7   58.4   55.9   139.8   512.3   582.3   331.2  1574.8
1915   50.9   77.8  113.9  140.2  217.6  195.4  183.8  170.3  170.4   72.3   94.5   31.6   184.5   471.7   549.5   337.2  1518.6
1916   40.8   65.6   82.7  204.2  165.6  170.2  212.2  179.7  114.3   71.3   46.1   55.2   137.9   452.5   562.0   231.6  1407.7
1917   44.6   72.5  107.2  177.5  185.9  212.6  194.8  140.6  119.9  109.0   42.6   64.8   172.4   470.6   548.0   271.5  1472.0
1918   58.2   47.2  126.8  146.8  224.8  241.4  227.5  159.6  125.4   82.9   75.7   39.3   170.1   498.4   628.5   283.9  1555.4
1919   57.3   63.5  109.9  155.8  191.4  215.9  193.4  216.5  138.8  140.4   55.5   43.8   160.1   457.0   625.9   334.6  1582.1
1920   50.4   69.6  111.1   91.6  183.5  185.4  130.4  145.1  118.0  102.0   60.5   49.8   163.8   386.2   460.9   280.4  1297.4
1921   28.8   74.5  105.0  224.2  230.6  255.2  248.1  153.3  161.9  134.2   53.9   38.1   153.2   559.8   656.7   350.0  1707.8
1922   45.3   71.4  120.1  171.9  237.1  211.3  165.2  118.3  117.1  120.2   62.4   37.0   154.8   529.0   494.8   299.8  1477.4
1923   51.4   63.9  103.1  121.0  184.9  160.1  165.2  204.4  147.6   91.3   98.1   52.4   152.3   409.0   529.7   337.0  1443.3
1924   47.6   72.4  157.0  151.8  153.7  156.7  195.1  141.3  108.8   76.5   57.5   45.0   172.4   462.5   493.0   242.9  1363.5
1925   35.3   75.7  113.1  169.1  153.3  317.4  184.0  153.8  140.6   99.1   89.0   55.3   156.0   435.4   655.2   328.7  1585.7
1926   42.7   41.9   85.5  143.3  171.8  224.5  180.9  177.6  107.0   94.6   56.5   50.5   139.9   400.6   583.0   258.1  1376.8
1927   46.4   61.0  115.2  155.7  195.9  182.1  129.7  164.5  104.7  107.8   59.6   24.0   157.9   466.9   476.3   272.1  1346.8
1928   59.8   83.5   89.9  148.0  176.8  177.1  229.9  177.9  185.0  107.9   56.1   41.5   167.3   414.8   584.9   349.0  1533.5
1929   55.0   57.1  197.5  171.8  218.5  234.1  227.3  160.3  189.0   99.4   63.6   60.5   153.6   587.9   621.6   352.0  1734.0
1930   46.2   76.1  105.3  142.4  134.0  232.1  175.2  173.4  129.1   93.1   64.4   38.7   182.8   381.7   580.6   286.6  1410.0
1931   72.0   70.0  124.3  109.0  147.4  161.0  136.4  154.7  112.1  114.8   65.5   38.3   180.7   380.7   452.2   292.4  1305.6
1932   42.8   79.3  142.5  133.6  112.9  237.5  129.5  165.2  112.7  102.3   51.0   45.7   160.4   388.9   532.1   265.9  1354.8
1933   82.7   90.0  159.7  157.6  172.7  215.4  218.8  214.1  168.9   92.0   80.9   56.8   218.4   490.0   648.3   341.9  1709.7
1934   56.2  105.7  115.8  130.3  217.0  223.1  261.0  181.8  140.7   72.3   34.4   28.6   218.8   463.1   665.8   247.4  1566.8
1935   56.6   61.9  117.0  145.3  189.6  174.1  239.8  190.5  130.8   83.7   67.7   55.8   147.1   452.0   604.3   282.2  1512.9
1936   40.8   68.2   77.2  158.3  197.2  155.3  129.0  193.9  115.0  107.3   55.4   50.0   164.8   432.7   478.2   277.6  1347.5
1937   34.0   53.4  118.3  114.4  197.6  183.5  127.8  214.3  150.5   96.9   67.5   45.1   137.4   430.4   525.7   314.8  1403.3
1938   40.8   64.5  137.3  216.7  152.6  201.4  131.9  146.1  127.3  100.1   52.9   51.4   150.4   506.6   479.3   280.2  1422.8
1939   39.2   79.0   88.5  187.0  215.0  230.5  123.8  175.7  170.0  116.8   39.6   51.6   169.6   490.5   530.0   326.4  1516.7
1940   79.4   40.1  125.1  123.4  218.1  280.4  188.5  212.0  184.2   92.8   61.5   43.4   171.0   466.7   680.8   338.5  1648.8
1941   53.1   74.8   99.2  138.4  172.4  205.2  217.7  173.9  125.7  110.9   52.8   43.7   171.2   410.0   596.7   289.5  1467.8
1942   57.8   68.9   92.6  180.3  185.2  251.2  180.5  139.7  128.7   82.4   67.0   33.4   170.4   458.2   571.4   278.0  1467.7
1943   40.4   78.4  139.4  176.4  214.8  196.0  195.4  155.7  135.1  111.9   66.0   51.0   152.1   530.6   547.1   313.1  1560.6
1944   33.8   77.4  159.1  155.9  229.6  174.1  110.5  207.7  141.8  106.4   35.4   66.7   162.3   544.6   492.4   283.7  1498.7
1945   69.4   61.3  137.2  209.5  166.2  171.5  154.9  169.6   90.2  111.6   59.3   38.0   197.4   512.9   496.0   261.1  1438.6
1946   57.9   62.6  112.4  195.9  192.6  162.2  193.3  133.1   98.3   78.5   48.1   69.2   158.5   500.8   488.6   224.9  1404.0
1947   54.0   32.8   71.1  148.4  153.6  171.7  160.3  281.9  136.9  118.3   61.0   33.8   156.0   373.2   613.9   316.3  1423.9
1948   38.9   74.4  173.5  200.8  280.0  149.9  171.7  145.5  131.2   96.0   72.4   63.4   147.1   654.3   467.0   299.6  1597.6
1949   56.1   99.5  136.2  161.0  237.3  266.8  254.4  205.1  143.4   95.2   67.4   45.1   219.0   534.6   726.3   306.0  1767.5
1950   45.4   50.6  125.9  166.8  207.2  228.0  178.4  170.1  105.9   89.8   66.1   51.1   141.0   500.0   576.5   261.7  1485.3
1951   43.4   86.5   86.9  197.6  174.4  233.1  222.5  161.8   83.0  114.0   64.5   50.2   181.1   458.9   617.4   261.6  1518.0
1952   74.8   87.4   92.4  158.2  199.6  194.8  170.7  168.8  142.0   99.4   66.8   58.1   212.4   450.2   534.2   308.2  1512.9
1953   49.0   70.3  152.7  191.4  208.2  174.2  205.0  202.0  139.5  109.9   50.7   36.4   177.5   552.3   581.2   300.2  1589.5
1954   60.8   78.9  108.0  225.3  171.9  153.0  125.2  140.7  157.0   71.3   48.0   45.6   176.1   505.3   418.9   276.3  1385.8
1955   37.2   84.3  170.0  178.5  214.6  152.2  293.2  220.4  159.2  121.3   75.1   31.5   167.2   563.1   665.8   355.7  1737.7
1956   55.3   94.7  150.7  188.7  246.1  188.4  174.3  179.6   76.1  111.1   56.1   26.8   181.5   585.5   542.3   243.3  1547.9
1957   47.2   81.0   93.2  172.2  230.3  297.3  158.1  159.9  115.2   81.4   64.0   58.1   155.1   495.7   615.3   260.5  1557.9
1958   50.1   46.3  108.2  147.0  185.2  168.4  164.2  113.8  123.9   92.1   46.1   34.4   154.5   440.5   446.4   262.1  1279.8
1959   75.8   76.0  104.7  145.8  231.2  240.1  238.4  207.5  225.5  123.4   54.3   35.5   186.2   481.6   686.0   403.2  1758.1
1960   44.8   82.3   84.7  181.0  182.5  257.7  163.5  162.5  132.9   77.4   70.6   62.1   162.5   448.2   583.7   280.9  1502.0
1961   37.6   50.5  126.9  113.0  231.4  236.4  200.0  170.3  126.6   97.9   61.0   58.8   150.2   471.4   606.8   285.5  1510.6
1962   51.1   73.9  124.3  169.3  176.7  262.5  152.1  150.0  126.5  124.8   46.2   65.4   183.9   470.2   564.7   297.5  1522.9
1963   78.3   85.0  109.5  120.9  182.2  190.3  169.2  131.6  132.3   65.4   60.6   55.2   228.8   412.6   491.2   258.3  1380.6
1964   35.8   58.6   84.1  128.6  167.3  149.9  182.2  191.7  179.0  104.1   59.9   52.7   149.7   380.0   523.8   343.0  1394.0
1965   67.4   50.1  131.9  171.4  165.2  173.4  139.0  175.5  110.5  116.7   73.6   59.5   170.2   468.5   487.9   300.8  1434.2
1966   35.6   35.8  127.7   98.0  235.1  170.3  180.6  184.2  158.7  104.2   64.5   40.2   131.0   460.9   535.1   327.3  1434.9
1967   52.1   85.1  149.6  135.2  162.2  214.3  181.3  167.7  136.2   76.0   76.8   50.5   177.4   447.0   563.3   289.0  1487.0
1968   32.1   81.0  133.1  164.3  163.5  185.9  200.4  157.2  123.9   48.4   50.8   42.0   163.5   460.9   543.5   223.1  1382.6
1969   36.9   67.3   85.1  201.2  148.8  259.4  205.6  166.8   90.6  105.8   76.7   43.4   146.2   435.1   631.9   273.1  1487.6
1970   39.6   92.6  111.8  132.4  188.2  214.5  172.2  158.5  126.7   89.5   52.2   60.5   175.6   432.4   545.2   268.4  1438.7
1971   35.6   71.5   99.5  138.5  228.3  149.3  269.1  130.9  176.6  128.3   88.9   33.4   167.6   466.4   549.4   393.9  1550.1
1972   44.7   48.7  142.5  171.0  146.4  125.2  176.6  204.0  158.7   87.4   71.4   42.0   126.8   460.0   505.8   317.6  1418.7
1973   28.3   67.2  150.9  176.2  150.9  205.8  170.5  175.8  138.6   91.9   71.1   50.7   137.6   478.1   552.1   301.6  1478.0
1974   40.0   70.3  106.6  174.3  192.7  199.7  149.5  183.1  119.4   92.4   57.8   35.4   161.0   473.6   532.3   269.6  1421.2
1975   36.6   77.0  107.0  144.7  220.7  284.2  212.3  200.5  141.9  115.2   69.8   32.4   149.0   472.3   696.9   326.9  1642.1
1976   42.6   50.2  104.6  180.5  177.8  225.4  234.7  280.9  105.8   72.1   67.0   51.0   125.3   463.0   741.0   244.9  1592.8
1977   50.1   63.5   80.2  160.7  239.0  157.0  211.2  167.2  117.9   98.6   80.8   32.4   164.6   479.9   535.5   297.4  1458.9
1978   65.2   55.9  110.2  136.3  210.0  177.3  131.7  171.7  166.4   86.0   59.0   42.2   153.5   456.5   480.7   311.3  1411.9
1979   70.4   61.6   82.9  152.6  182.7  159.4  204.3  165.9  144.9   98.7   60.0   50.5   174.2   418.3   529.6   303.5  1433.8
1980   67.0   47.2   87.2  185.6  214.9  155.6  157.5  140.4  124.2   95.3   68.2   47.2   164.7   487.7   453.5   287.7  1390.3
1981   47.2   70.7   69.8  138.6  117.4  147.6  144.9  202.8  140.2   82.8   42.6   43.2   165.0   325.8   495.3   265.6  1247.7
1982   41.3   56.3  142.0  190.9  196.4  172.3  163.0  140.1  123.9   66.5   59.8   35.1   140.7   529.3   475.4   250.2  1387.6
1983   34.7   82.6   78.0  153.4  131.5  158.1  261.1  236.1  101.8  100.1   44.0   57.9   152.3   362.9   655.3   245.8  1439.1
