Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Midlands
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   60.5   76.7  144.9  113.3  193.0  170.5  152.8  131.4  110.2   64.7   67.7   26.5     ---   451.2   454.7   242.7  1312.2
1911   47.7   59.1   83.7  129.9  189.4  200.5  282.0  210.5  181.8   81.4   57.5   42.4   133.3   403.0   693.0   320.8  1566.0
1912   34.5   48.3   82.1  218.2  138.5  144.1  119.8   90.1  106.5  100.2   31.2   23.7   125.2   438.8   353.9   237.9  1137.1
1913   29.9   54.9   99.5  104.9  167.6  186.9  106.7  139.8  110.6   82.9   67.8   28.9   108.5   372.0   433.4   261.3  1180.5
1914   32.5   64.1   78.9  224.2  158.2  227.0  142.3  177.0  182.1   68.3   52.6   39.9   125.4   461.3   546.3   302.9  1447.0
1915   33.5   75.9  101.3  153.6  218.8  220.2  159.8  150.4  166.2   51.1   74.4   28.7   149.3   473.6   530.3   291.8  1433.8
1916   46.1   62.9   57.7  181.4  162.5  130.3  166.6  165.0  107.3   83.2   52.4   29.6   137.6   401.6   461.9   242.9  1244.9
1917   18.9   40.8   86.5  128.4  194.2  204.9  203.5  127.7  126.2  118.9   47.2   45.5    89.3   409.0   536.1   292.2  1342.7
1918   48.4   55.7  112.7  119.2  204.5  208.7  197.6  159.4  128.3   69.2   62.9   30.4   149.6   436.4   565.7   260.4  1396.9
1919   39.6   49.8   92.8  119.0  228.5  198.9  129.0  194.4  139.5  132.7   42.3   31.8   119.9   440.2   522.2   314.4  1398.2
1920   47.0   73.0  112.0   74.0  183.1  181.7  113.1  123.3   99.9   91.2   46.7   31.0   151.7   369.1   418.1   237.8  1175.9
1921   26.9   60.2  106.1  186.7  223.7  226.5  230.1  141.4  159.6  130.5   51.7   36.6   118.2   516.6   598.0   341.8  1580.1
1922   40.2   76.7   82.9  141.9  228.4  208.9  141.4  122.5   95.5  111.2   53.8   35.2   153.5   453.3   472.8   260.4  1338.6
1923   47.9   47.6   78.6  121.0  156.0  122.2  171.8  192.4  145.5   83.1   76.4   37.1   130.6   355.7   486.3   305.0  1279.5
1924   47.5   42.3  136.4  132.8  140.0  160.3  191.9  131.5  110.0   80.0   40.8   37.0   126.9   409.2   483.7   230.8  1250.4
1925   38.5   64.7   85.8  140.1  161.4  248.3  177.6  128.8  121.5   86.2   83.9   46.9   140.2   387.3   554.7   291.7  1383.8
1926   35.9   39.2   92.3  104.9  155.0  181.4  162.3  187.2  114.4   96.3   47.2   38.6   122.0   352.2   530.9   257.9  1254.6
1927   43.8   46.7  103.8  152.9  165.6  162.4  116.5  140.2   95.2   82.3   54.5   23.9   129.1   422.3   419.1   232.0  1187.8
1928   55.2   74.3   69.8  122.3  137.4  190.4  236.0  172.5  158.3  102.9   55.6   34.2   153.4   329.5   598.9   316.7  1408.8
1929   32.2   44.2  166.3  138.3  223.8  201.7  196.6  161.7  179.0  104.8   57.3   56.7   110.7   528.4   560.0   341.1  1562.6
1930   48.6   43.6   97.6   96.4  136.2  206.2  157.0  186.1  108.4  110.1   65.8   22.7   148.9   330.3   549.3   284.3  1278.7
1931   52.9   57.1  135.6   96.8  157.5  150.7  126.0  149.9   89.0  115.8   50.2   37.4   132.6   389.9   426.6   255.0  1219.0
1932   48.8   53.4  109.1  112.4   96.1  188.8  118.3  154.5  119.8   86.3   39.6   46.0   139.7   317.6   461.6   245.7  1173.2
1933   57.5   82.5  155.5  133.4  137.6  203.5  215.5  217.1  163.7   79.4   47.8   33.8   186.0   426.6   636.0   291.0  1527.5
1934   53.0   87.5   99.5  118.1  182.9  183.8  245.3  165.6  144.9   78.8   32.8   25.2   174.4   400.5   594.7   256.5  1417.4
1935   43.7   49.5  109.1  139.1  210.1  183.1  243.4  193.1  136.6   84.6   54.0   38.8   118.4   458.3   619.7   275.3  1485.4
1936   37.1   73.9   59.1  150.1  160.4  150.8  124.1  171.1   89.1   98.7   44.6   48.2   149.8   369.6   446.0   232.4  1207.3
1937   37.2   58.1   89.2   96.0  172.9  157.0  119.3  180.9  139.3   67.8   57.4   27.9   143.5   358.2   457.2   264.6  1203.1
1938   40.3   54.4  138.2  157.5  151.8  176.9  130.7  137.3  102.8   99.2   72.8   43.7   122.6   447.4   444.9   274.9  1305.5
1939   33.5   78.5   80.9  161.5  177.0  207.0  134.8  145.6  117.2   93.3   40.2   32.4   155.6   419.4   487.4   250.7  1301.9
1940   55.6   20.5  108.8  110.5  198.6  272.9  170.9  179.1  160.5   72.7   60.0   35.9   108.5   418.0   622.9   293.2  1446.0
1941   33.1   63.8  101.9   91.1  134.8  199.5  205.9  164.2   87.6   96.6   34.7   35.2   132.8   327.9   569.7   218.9  1248.6
1942   34.3   47.8   55.7  206.7  203.4  215.6  165.9  122.3  138.7   85.0   45.8   30.0   117.2   465.8   503.8   269.5  1351.2
1943   41.5   83.8  122.1  158.3  234.5  191.4  204.6  140.9  130.2   94.0   60.3   35.6   155.4   514.9   536.9   284.6  1497.4
1944   37.5   55.3  118.6  137.3  196.5  151.1  105.8  173.2  128.2   83.9   39.3   45.4   128.4   452.4   430.2   251.5  1272.2
1945   45.5   63.7  124.0  190.3  158.0  175.8  163.9  150.8   78.1   89.0   30.8   35.5   154.6   472.4   490.5   197.9  1305.4
1946   43.0   73.6  106.3  175.8  174.9  160.4  183.0  131.8   99.9   71.6   32.6   55.0   152.1   457.0   475.2   204.1  1307.8
1947   45.0   25.7   67.4  140.3  161.0  172.6  148.5  259.6  139.3   96.5   77.2   28.9   125.7   368.7   580.6   313.0  1361.9
1948   39.5   68.6  152.0  182.1  240.5  151.1  170.1  115.2  118.0   84.3   56.8   49.9   137.0   574.5   436.4   259.1  1428.0
1949   47.1  104.5  105.1  161.0  220.0  237.2  211.9  194.1  138.1   96.0   55.2   48.9   201.4   486.1   643.2   289.3  1619.1
1950   29.6   59.4  115.8  149.8  155.5  238.4  176.8  162.1  109.4   94.4   48.9   38.7   138.0   421.1   577.3   252.7  1378.8
1951   38.0   53.1   79.8  181.1  148.1  216.5  186.6  145.8  102.9  100.7   57.1   51.8   129.8   409.0   548.9   260.7  1361.4
1952   74.3   80.0   85.4  153.4  188.0  181.5  166.8  166.0  108.0  101.2   66.6   49.5   206.0   426.8   514.3   275.8  1420.5
1953   35.1   57.0  120.8  161.0  202.8  132.5  188.6  194.2  137.9   79.0   46.0   28.9   141.6   484.6   515.3   263.0  1383.8
1954   51.9   60.2   92.9  167.4  125.7  131.0  128.9  113.4  161.4   79.3   52.5   45.9   141.0   386.0   373.3   293.3  1210.6
1955   32.9   77.4  141.8  153.8  191.4  138.3  259.9  177.3  148.5  117.0   48.3   43.1   156.2   486.9   575.5   313.8  1529.7
1956   52.6   69.5  125.3  143.8  230.0  141.7  153.0  134.9   91.2  103.9   50.5   18.1   165.3   499.1   429.7   245.5  1314.4
1957   42.4   76.9   88.8  144.5  192.0  284.3  125.7  127.8  104.2   78.1   59.3   46.6   137.4   425.4   537.8   241.6  1370.8
1958   50.9   59.1   97.8  139.7  172.3  126.6  167.1  127.9  103.8   88.4   42.5   24.3   156.7   409.8   421.6   234.7  1200.4
1959   71.6   50.8   84.3  143.1  213.8  223.7  227.7  203.4  175.7  129.9   47.8   32.8   146.7   441.2   654.7   353.4  1604.6
1960   27.1   70.0   61.7  149.1  172.9  259.7  139.3  146.6  116.5   52.2   58.5   48.9   129.9   383.7   545.6   227.2  1302.5
1961   31.6   58.0  144.1   79.0  189.4  213.3  162.9  178.5  125.3  111.4   61.7   50.4   138.4   412.4   554.7   298.3  1405.4
1962   61.8   68.8  116.2  149.0  159.6  226.1  123.1  146.5  109.6   94.9   39.4   55.2   181.1   424.8   495.7   244.0  1350.3
1963   58.9   65.7   90.8  108.0  177.8  197.3  173.8  124.4  133.0   77.2   47.8   40.9   179.8   376.6   495.5   258.1  1295.7
1964   40.1   52.9   55.1  110.3  184.9  129.5  177.9  185.3  171.9  110.3   51.2   45.1   133.8   350.3   492.6   333.5  1314.4
1965   65.3   28.4  127.7  138.2  154.7  177.4  103.9  168.7   98.8   87.3   69.3   53.5   138.8   420.6   449.9   255.4  1273.2
1966   30.4   38.4  109.7   84.9  216.0  155.8  146.9  159.7  133.3   83.9   46.4   37.7   122.3   410.6   462.4   263.6  1243.1
1967   58.8   74.3  157.9  105.8  153.3  217.2  202.3  143.3  107.1   95.1   59.1   57.8   170.8   417.0   562.9   261.3  1432.1
1968   38.9   58.0  114.0  164.4  136.8  188.1  125.3  128.0  101.9   61.2   40.4   31.0   154.7   415.2   441.4   203.5  1188.1
1969   32.9   61.1   61.6  184.0  118.2  246.0  217.9  136.0   94.0   90.1   75.4   31.2   125.1   363.9   600.0   259.5  1348.6
1970   28.1   97.2  107.2  126.1  193.8  233.2  156.1  159.5  134.7   92.7   53.2   42.7   156.4   427.1   548.8   280.6  1424.5
1971   34.6   60.9   85.8   97.8  216.7  130.5  224.9  129.6  158.8  127.6   84.1   28.1   138.1   400.3   484.9   370.5  1379.3
1972   40.2   34.6  125.7  118.3  139.4  139.0  159.3  170.1  102.5   81.2   73.2   32.1   102.9   383.5   468.4   256.9  1215.7
1973   34.0   79.0  127.5  153.6  168.8  218.1  145.2  170.4  135.2   84.0   82.0   48.3   145.1   449.9   533.7   301.2  1446.2
1974   50.9   53.2   91.6  136.9  185.8  184.1  162.7  184.4  132.9   87.5   50.3   48.6   152.3   414.3   531.3   270.7  1369.0
1975   36.2   42.0   80.4  119.2  185.6  260.1  201.4  219.6  141.0  104.0   75.3   39.2   126.8   385.2   681.1   320.3  1504.1
1976   49.3   49.0  101.2  134.2  152.5  241.9  248.6  230.7   94.7   58.3   62.4   52.4   137.5   387.9   721.3   215.4  1475.2
1977   42.0   55.6   77.7  157.6  220.5  152.6  184.9  139.3  104.7   89.6   85.6   39.1   150.0   455.7   476.8   279.8  1349.1
1978   46.2   46.1  121.4   99.3  194.3  154.6  145.6  130.2  136.7   77.9   71.7   30.9   131.4   415.0   430.4   286.3  1255.0
1979   54.8   58.9   79.6  114.1  167.2  166.8  170.0  160.1  155.5   98.7   59.4   50.4   144.6   360.9   497.0   313.7  1335.6
1980   57.4   41.0   76.2  157.5  215.7  143.3  138.1  140.0  135.7  105.9   56.2   58.2   148.8   449.5   421.4   297.8  1325.3
1981   41.8   61.3   57.7  117.1  128.1  143.7  151.8  178.8  155.1  112.1   48.1   39.4   161.3   302.9   474.4   315.3  1235.0
1982   47.2   40.0  135.6  164.2  216.9  139.8  157.7  156.2  137.4   68.9   56.3   37.5   126.6   516.8   453.7   262.6  1357.7
1983   49.0   59.9   75.4  133.4  106.7  164.3  221.5  214.8  106.7  108.1   36.2   50.8   146.4   315.5   600.6   251.0  1326.8
1984   66.9   50.8   48.6  213.4  159.3  203.8  246.9  194.6  107.3   95.1   41.9   54.9   168.6   421.3   645.2   244.3  1483.4
1985   44.7   76.3  103.6  120.7  158.2  162.2  185.0  152.9  126.9   88.4   76.8   34.1   175.9   382.5   500.1   292.1  1329.8
1986   57.5   72.1  113.8  117.3  180.9  192.2  167.8  125.1  166.3  107.0   76.5   50.5   163.7   412.0   485.1   349.8  1427.0
1987   52.6   59.1   94.4  150.6  174.9  107.3  158.7  138.1  141.3  101.7   41.6   27.8   162.2   420.0   404.1   284.7  1248.2
1988   49.6  104.8   92.7  113.0  183.2  157.7  138.4  173.7  135.6   96.1   80.5   39.6   182.2   388.9   469.8   312.1  1364.9
1989   60.8   91.9  102.3  122.4  255.6  224.2  255.6  236.4  129.4   86.8   77.0   20.5   192.3   480.3   716.1   293.2  1662.8
1990   58.4   74.5  141.2  192.7  233.6  107.7  258.9  209.0  139.5   94.7   52.5   42.7   153.4   567.4   575.7   286.7  1605.5
1991   66.6   54.0   73.7  137.5  128.2  126.0  192.0  205.5  171.0   78.2   49.1   35.0   163.4   339.5   523.4   298.2  1316.8
1992   38.0   60.9   70.2  122.1  243.4  191.6  154.9  167.9  108.8   85.9   56.2   35.2   133.9   435.6   514.5   250.9  1335.0
1993   33.3   47.7  108.7  101.7  170.8  190.1  173.1  176.8   85.1  100.1   46.3   45.4   116.1   381.2   540.0   231.6  1279.1
1994   66.4   57.4  118.1  164.0  139.1  201.9  215.8  170.7  105.5  105.8   42.0   51.2   169.3   421.1   588.5   253.4  1438.1
1995   52.6   72.3  161.8  175.5  194.1  188.5  220.2  264.0  121.1  122.8   65.9   39.7   176.2   531.4   672.6   309.8  1678.4
1996   14.9   78.5   52.1  121.3  166.3  236.4  225.2  180.2  123.7  106.2   84.6   45.4   133.1   339.7   641.9   314.5  1434.9
1997   40.2   67.1  124.4  147.9  233.7  125.6  217.7  180.5  143.0  128.1   37.5   37.9   152.6   506.0   523.8   308.6  1483.5
1998   46.6   89.1   77.3  115.2  193.8  126.7  150.2  198.2  112.5   96.5   65.7   38.5   173.7   386.3   475.1   274.6  1310.4
1999   59.1   79.4  102.1  145.5  148.5  184.4  232.9  144.7  156.6  120.1   68.7   55.3   177.0   396.0   562.1   345.4  1497.4
2000   69.1   96.5  118.2  133.7  187.7  153.8  150.2  188.2  113.1   85.9   54.9   47.9   220.9   439.6   492.2   253.9  1399.1
