Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland E
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   44.7   71.5  114.6  123.7  165.8  184.8  139.4  114.0  116.4   77.0   63.9   33.3     ---   404.0   438.3   257.3  1249.1
1911   41.2   66.8  101.2  106.0  206.4  202.4  196.4  172.8  135.5   76.1   48.8   31.3   141.3   413.6   571.6   260.4  1385.0
1912   28.2   52.2   95.6  170.5  157.1   73.4  115.9   56.0  100.9   68.7   41.2   16.0   111.7   423.2   245.3   210.8   975.7
1913   19.2   41.7  110.2  119.3  135.9  159.0  139.2  134.2   78.4   87.3   55.2   35.3    77.0   365.4   432.5   220.8  1115.0
1914   24.2   51.4  100.0  192.8  139.4  194.2  137.5  150.6  129.2   71.5   45.5   32.0   110.8   432.2   482.3   246.2  1268.2
1915   29.7   53.0  111.5  142.0  194.0  207.9  143.0  113.6  128.7   84.6   60.1   18.0   114.8   447.5   464.5   273.3  1286.0
1916   46.1   67.5   74.0  135.7  139.7  112.4  114.7  130.9  108.5   69.6   38.6   25.6   131.6   349.4   358.0   216.6  1063.3
1917   20.6   67.7  103.8  117.2  132.2  207.5  190.5   97.1  103.6   88.3   43.9   37.0   113.9   353.3   495.1   235.9  1209.6
1918   32.4   50.5   72.1  150.2  142.2  188.1  161.9  109.1  117.5   62.4   56.2   32.5   119.9   364.5   459.2   236.1  1175.3
1919   31.8   51.2   99.6  105.4  180.8  166.9  186.5  168.7  134.6   85.0   54.7   35.4   115.6   385.9   522.1   274.3  1300.8
1920   43.0   77.2   93.0  105.5  173.9  208.8  120.6  123.6  100.4   79.1   43.9   38.5   155.7   372.3   453.0   223.4  1207.6
1921   36.6   60.8   98.1  177.6  195.8  212.9  164.2  119.3  121.5   76.8   54.1   36.3   136.0   471.4   496.3   252.4  1353.8
1922   32.7   50.0  103.0  146.0  179.0  170.3  127.8  122.5   86.8   92.5   62.8   30.2   118.9   428.0   420.6   242.0  1203.4
