Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland N
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   32.0   64.6  108.8  107.4  168.0  171.7  118.1  101.9  107.3   77.9   42.0   21.8     ---   384.2   391.6   227.2  1121.4
1911   24.5   43.9  116.8   97.0  193.5  174.2  165.1  143.7  101.1   75.0   41.8   26.4    90.2   407.3   483.1   217.9  1202.9
1912   27.9   58.5   97.5  146.2  160.2   79.2  125.3   73.9  100.2   56.7   24.4    9.9   112.8   403.9   278.4   181.3   959.8
1913   21.3   33.4   91.3  123.5  138.5  134.4  128.1  105.1   78.9   82.1   37.3   12.9    64.6   353.3   367.7   198.3   986.8
1914   23.5   47.4   97.2  141.1  127.3  150.3  119.7  142.0   92.1   67.7   24.7   22.4    83.8   365.5   411.9   184.5  1055.3
1915   22.8   42.7   78.3  103.0  204.0  202.4  109.1   98.8  106.6   99.0   35.8   12.8    87.8   385.4   410.3   241.4  1115.3
1916   26.9   61.3   61.9  124.3  127.9   93.5   80.7  113.3   78.2   58.0   25.1   12.4   101.0   314.0   287.5   161.4   863.5
1917   23.6   52.7   67.8  115.6  137.9  188.2  185.0  112.1   91.0   62.0   27.0   19.7    88.7   321.2   485.4   179.9  1082.5
1918   12.9   44.5   85.3  154.1  132.7  159.4  136.7   88.8  103.8   53.4   47.2   21.9    77.1   372.1   384.9   204.4  1040.7
1919   31.1   60.7  108.9  100.0  183.9  143.8  149.2  135.2  109.0   69.5   36.1   19.5   113.7   392.8   428.2   214.6  1147.0
1920   25.0   44.5   87.5  115.7  148.6  224.9  133.7  106.0   92.4   81.1   39.3   38.2    89.0   351.7   464.7   212.8  1136.9
1921   24.9   51.7   83.2  154.7  175.5  187.4  148.3  121.0   84.1   53.9   42.0   11.6   114.8   413.4   456.8   179.9  1138.3
1922   18.7   41.1   71.7  139.7  166.5  119.3  105.2  113.6   95.5   85.4   28.4   22.3    71.4   377.9   338.1   209.3  1007.4
1923   18.7   40.1  137.8  136.1  129.6  109.6  117.6  102.1   99.8   78.2   42.4   17.7    81.0   403.4   329.3   220.4  1029.5
1924   27.1   38.2   70.7  119.8  133.1  149.7  135.0   78.6  114.4   73.5   35.0   22.3    83.0   323.6   363.3   222.9   997.3
1925   37.0   43.9   72.3  149.5  127.8  200.9  127.0  119.0   73.0   68.1   62.0   18.8   103.2   349.6   446.9   203.1  1099.2
1926   27.5   48.5   83.6  120.3  179.7  140.2  169.8  135.0   99.8   74.6   53.5   17.1    94.8   383.6   445.1   227.9  1149.7
1927   22.1   67.7  102.9  116.8  147.2  164.0  130.9  135.9   66.2   73.8   42.1   28.8   107.0   367.0   430.7   182.2  1098.5
1928   22.9   59.3   62.3  117.1  134.6  168.4   91.2  110.3  131.1   79.9   35.1   17.8   111.0   314.0   369.9   246.1  1030.1
1929   39.5   57.2  141.7  162.7  172.9  152.9  117.5   90.1   80.9   62.4   42.5   26.2   114.5   477.3   360.5   185.8  1146.4
1930   35.1   86.4  103.1  127.7  165.2  190.2   97.9   96.8   71.6   55.5   35.8   22.8   147.6   396.0   384.9   162.8  1088.0
1931   26.6   50.1  131.3  106.9  141.4  128.5   83.0  135.3  103.2   64.6   34.7   18.7    99.5   379.6   346.8   202.5  1024.3
1932   32.7   61.7   67.7  111.6  175.8  162.0  110.4  127.4   72.7   50.1   41.8   26.6   113.0   355.2   399.8   164.6  1040.6
1933   35.9   44.3   91.9   98.6  138.0  184.6  123.5  136.4  125.1   41.0   39.2   25.1   106.9   328.6   444.5   205.3  1083.7
1934   21.9   40.0  110.8   99.3  134.8  200.1  141.6   88.9  117.8   56.2   37.0   18.1    87.0   344.9   430.5   211.0  1066.4
1935   19.3   52.2  124.0  113.9  209.0  137.6  170.2   94.6   91.7   43.2   44.3   28.8    89.5   446.9   402.4   179.1  1128.6
1936   29.6   59.9   64.9  143.7  163.4  212.5  123.2  107.7   99.7   85.9   36.4   15.7   118.3   372.0   443.3   222.0  1142.6
1937   27.2   51.7  108.8   94.3  202.5  138.9   97.2  131.4   97.4   72.3   34.5   25.5    94.7   405.5   367.5   204.2  1081.8
1938   17.7   44.2   66.0  119.0  149.7  125.2  102.9  178.3   98.9   68.6   29.4   25.6    87.4   334.7   406.5   196.9  1025.4
1939   33.5   39.1   91.4  129.0  152.5  173.3   70.0  145.9  103.4   99.9   29.9   18.3    98.2   372.9   389.2   233.1  1086.3
1940   34.8   62.5   77.0  114.7  162.0  213.3   90.3  108.9   77.2   61.7   32.2   22.0   115.6   353.6   412.5   171.1  1056.5
1941   41.4   42.5  113.0  106.3  155.6  162.3  102.5   88.9   93.0   68.6   37.6   17.8   106.0   374.8   353.8   199.2  1029.7
1942   24.1   58.6   73.2  210.0  201.4   92.6  117.9   70.2   87.9   55.5   39.5   16.8   100.6   484.5   280.7   182.9  1047.6
1943   29.6   33.8   94.3   97.9  163.1  135.6  160.6   88.1   90.3   48.8   26.0   28.9    80.2   355.3   384.3   165.1   997.0
1944   20.2   42.8   68.6  101.7  101.3  108.4  107.9  154.3  102.2   54.4   39.7   17.6    91.9   271.5   370.6   196.3   919.0
1945   27.5   49.8   71.1  117.4  158.0  147.1  101.4  142.0   89.0   76.5   40.8   16.1    94.9   346.5   390.5   206.3  1036.8
1946   36.9   48.3   83.1  127.6  216.4  123.2   94.0  128.0   88.8   86.7   33.7   29.2   101.2   427.1   345.2   209.2  1095.8
1947   41.2   74.8  101.0   97.2  151.1  105.0  148.6  232.8   85.1   75.7   35.2   15.6   145.2   349.4   486.4   196.0  1163.3
1948   27.6   52.5  119.0  137.7  218.4  127.6  134.9   74.1   95.5   76.2   43.0   26.4    95.6   475.2   336.6   214.6  1132.8
1949   20.6   64.3   98.5  120.5  151.9  224.2  121.9  102.9  115.0   53.7   39.3   17.8   111.3   370.9   448.9   208.0  1130.5
1950   31.6   67.8   77.7  120.8  181.0  134.6  148.9  150.6   79.9   80.0   46.7   17.0   117.2   379.4   434.0   206.7  1136.5
1951   33.8   47.4   80.9  136.5  213.6  185.8  106.5   99.8  103.6   72.0   28.2   25.3    98.3   431.0   392.1   203.9  1133.6
1952   37.0   43.9   93.4  144.7  150.9  108.2  130.6   89.6   81.1   76.7   43.9   19.9   106.2   389.0   328.5   201.7  1020.0
1953   22.3   54.5  126.0  143.2  156.0  140.6   79.3  110.6   94.6   66.8   37.1   31.0    96.7   425.2   330.5   198.5  1062.1
1954   25.3   55.7  120.0  175.4  139.0  136.6   87.9   91.0   95.8   64.4   32.5   18.0   112.0   434.4   315.4   192.6  1041.4
1955   35.8   76.0   94.2  160.1  188.8  186.6  212.0  141.2  103.2   53.4   42.4   26.0   129.8   443.1   539.8   199.0  1319.6
1956   29.5   49.9  123.9  157.0  138.7  164.1  147.5  107.5   82.6   66.7   24.5   17.2   105.4   419.6   419.0   173.7  1109.0
1957   28.5   63.2   63.1  152.6  157.6  192.6   75.9  104.0   89.1   46.9   25.8   30.5   108.8   373.3   372.4   161.7  1029.7
1958   23.3   39.7  105.7  118.3  175.5  128.2  140.4   99.9  112.4   66.3   49.9   21.2    93.5   399.5   368.5   228.7  1080.9
1959   36.1   81.4   99.9  107.5  186.4  170.5   96.7  100.5  133.9   93.6   42.6   20.3   138.7   393.8   367.7   270.1  1169.4
1960   33.3   79.6   87.8  106.1  174.1  170.9  125.3  106.1  121.8   48.4   47.0   34.8   133.2   367.9   402.3   217.2  1135.1
1961   37.0   60.1   75.9  125.5  173.5  130.0   69.0  103.7  102.1   65.6   48.5   32.6   131.9   374.8   302.7   216.2  1023.4
1962   30.3   59.9   92.9  193.8  135.4  137.3  140.2  117.0   67.9   53.5   29.4   21.9   122.8   422.1   394.5   150.8  1079.4
1963   46.3   83.4  102.0  136.5  163.4  155.9  154.0   77.9   92.7   57.0   35.2   26.2   151.5   402.0   387.8   184.9  1130.5
