Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland W
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910   38.4   50.1  103.3  124.1  191.0  184.7  178.6  100.0  119.6   75.5   59.6   29.7     ---   418.3   463.3   254.7  1254.5
1911   37.4   52.5  128.9  104.7  223.8  208.2  183.6  194.3  121.4   82.5   54.4   20.9   119.6   457.4   586.1   258.3  1412.7
1912   30.2   58.0   83.2  170.6  156.3   96.1  158.0   61.7  113.8   63.9   24.9    5.4   109.1   410.1   315.8   202.5  1022.0
1913   20.3   33.9   88.3  114.8  140.0  134.1  174.8  144.3   93.2   80.1   37.9   26.6    59.6   343.1   453.2   211.2  1088.2
1914   19.0   27.7   95.4  168.7  133.8  184.2  135.5  156.8  127.9   64.8   45.4   26.0    73.3   397.9   476.5   238.1  1185.2
1915   39.9   52.2  109.6  148.6  228.5  208.7  162.2  106.3  135.8   79.6   70.4   26.2   118.1   486.7   477.2   285.8  1368.1
1916   26.5   60.9   85.9  133.5  150.9  176.6  118.8  155.7   97.5   48.7   31.9   30.5   113.7   370.3   451.1   178.1  1117.4
1917   38.1   53.7   94.2  120.4  134.6  208.3  202.7  116.2   82.8   65.8   30.4   38.8   122.3   349.2   527.2   178.9  1185.9
1918   32.5   28.3   85.1  175.6  146.0  196.0  164.1   93.6  119.0   54.8   50.7   29.5    99.6   406.7   453.6   224.5  1175.1
1919   37.8   61.4  104.4  107.2  202.0  165.0  196.9  161.6  116.5   90.9   49.7   29.9   128.7   413.6   523.5   257.0  1323.2
1920   31.0   50.4   72.9  112.2  143.2  182.7  107.9  120.5  106.1   79.5   33.1   30.9   111.2   328.2   411.1   218.7  1070.3
1921   23.8   49.0   68.3  162.2  174.3  222.2  160.9  126.1  116.8   52.5   53.5   24.4   103.8   404.8   509.1   222.8  1234.0
1922   38.9   39.0  125.0  175.9  159.9  139.0  128.0  118.4  101.0  104.5   46.5   18.3   102.3   460.8   385.5   252.0  1194.5
1923   27.2   31.7  119.0  138.1  172.3  100.9  127.4   99.2  105.0   86.4   54.5   37.9    77.3   429.4   327.5   245.9  1099.7
1924   24.9   53.6  112.9  117.8  124.7  154.0  116.2   81.7   97.4   76.3   47.1   21.2   116.4   355.5   351.9   220.8  1027.9
1925   23.2   42.9   93.6  159.3  113.3  251.4  149.9  127.7  115.9   62.7   73.2   36.5    87.3   366.2   529.0   251.7  1249.5
1926   22.7   31.6   67.7  116.1  182.4  190.1  169.7  151.4  107.9   86.7   46.2   31.0    90.7   366.3   511.2   240.7  1203.4
1927   25.6   47.9   96.7  136.0  189.8  178.0  138.2  129.5  100.7   82.8   56.9   28.1   104.4   422.6   445.7   240.4  1210.2
1928   35.4   67.2   58.7  132.9  191.5  166.8  116.1  125.0  139.3   68.2   45.2   34.5   130.6   383.1   407.9   252.7  1180.8
1929   41.2   46.0  154.2  148.0  202.7  205.1  152.1   98.2   98.9   84.4   36.9   34.4   121.7   505.0   455.3   220.2  1302.2
1930   28.3   71.4   88.8  139.6  178.8  195.2  107.5  108.1   89.7   63.4   55.0   22.7   134.2   407.3   410.8   208.1  1148.6
1931   46.5   52.2  113.4  120.4  162.5  102.6   82.6  166.6   91.5   87.2   32.4   15.8   121.3   396.3   351.8   211.0  1073.5
1932   34.1   85.1   82.1  146.4  160.0  192.6  104.2  109.5   94.6   67.3   43.0   31.5   135.0   388.6   406.3   204.9  1150.6
1933   42.0   71.9  114.0   95.9  131.3  191.3  144.4  138.0  145.6   63.5   46.4   23.7   145.4   341.1   473.7   255.5  1208.0
1934   34.4   63.2   90.0  112.9  139.6  183.5  198.8  105.1  117.4   53.2   51.8   11.4   121.3   342.5   487.5   222.4  1161.4
1935   42.4   50.6   92.7  127.1  249.4  141.4  195.2  118.2  103.6   44.2   43.5   45.7   104.4   469.3   454.8   191.3  1254.1
1936   34.6   62.2   49.0  172.2  184.2  181.7  123.5  128.7   90.5   86.8   37.3   18.1   142.5   405.4   433.9   214.6  1168.8
1937   25.9   69.8  110.9   72.4  192.8  158.3  117.6  142.0  117.2   68.1   50.8   40.7   113.8   376.1   417.9   236.0  1166.3
1938   27.8   59.9   64.5  172.1  173.4  152.8  135.7  169.4   90.2   68.9   29.5   43.4   128.4   409.9   457.8   188.5  1187.5
1939   46.7   39.7  106.1  134.8  189.3  235.7  107.8  137.1  117.1  110.6   28.4   22.3   129.8   430.3   480.6   256.1  1275.7
1940   33.9   40.8   92.0  100.7  178.4  258.6  135.1  130.7  120.7   41.6   35.3   31.5    97.0   371.0   524.3   197.5  1199.1
1941   37.7   56.9   97.5  103.8  158.9  184.5  142.0  121.3   82.6   80.6   43.5   22.1   126.1   360.2   447.9   206.7  1131.4
1942   27.8   58.1   84.0  197.3  209.6  151.8  147.2   78.1  110.8   55.5   51.1   24.2   108.0   490.9   377.1   217.5  1195.6
